,isbn,user_link,ranking,review
0,0007240198,http://goodreads.com/user/show/175635-trevor,5,"So, you are about to tuck into a lentil burger with chia seed extract for that omega three boast you know your body has been crying out for since your last detox, especially since you aren’t completely sure if the cannabis oil you’ve been baking into your gluten free cookies has given you indigestion or if it is the start of the stomach cancer you thought you might have had and was the reason why you started eating the damn things in the first place. The guy on the Internet who sold you the oil sounded damn convincing, but, then again, so did the guy who told you that you needed mega doses of vitamin Q – an extract from goat urine and krill that, if taken in large enough doses, might even make your hair curly.If this sounds like Tuesday, rather than a WTF moment, then this is a book you really, really need to read, and right now. Actually, no matter what your religion, you need to read this book. This guy is both very funny and very clever – these are, truth be told, two of my favourite things in the whole wide world. As much as I hate to admit it, I would probably forgive just about anyone anything if they can just display these two qualities – even only every now and again. But this book is also insanely important for you to read as well. In it you will learn stuff. Let me explain how I came to read it.A couple of weeks ago there was a newspaper article – no, a flood of newspaper articles all over my social media feeds – all about research that proved that you get cancer by bad luck rather than any of that other crap you thought you got cancer from – you know, ‘life style’, smoking, stuff like that. This might sound like bad news, but since there is stuff-all you can do about bad luck – even if you are a management arsehole who ‘makes his own luck’ – that then has a reassuring ring to it if you think about it for long enough. Pass the smokes and yes, I will have a double, no, stuff it, just leave the bottle. Except the next day or so another article appeared in the Guardian that said this first series of articles were all crap – AND that the reason why they were all crap was because journalists are too bloody stupid to know if a bus is up them, well, unless the passengers get out, and if you want to avoid being fooled again, read this book. So I did. And they were right. This is a necessary read – you’ve been repeatedly told that now – and I’m going to tell you again – what are you waiting for?What will you be told by reading this book? Well, one of the main things is that there are two things that have been repeatedly shown to lead to a healthy and productive life – eat food, mostly vegetables with lots of fruit thrown in for the colours if nothing else, and exercise. There is no magic pill, there is no secret wonder food, there is only that to know – eat stuff that is good for you and exercise enough so that your body doesn’t atrophy and you’ll probably be ok. No guarantees, by the way, life doesn’t come with guarantees, but do that and you are doing your bit, do less than that are you are building up Karma that’s going to get you, sooner or later. When people tell you that you need to do more than this eating food and moving your arse occassionally, they are selling you something, and the most likely thing they are selling you is bullshit. As he says, someone who tells the truth or someone who lies are similar in that at least both of them know there is a truth that is worth lying about – however, someone who bullshits doesn’t even give the truth that level of respect. It is embarrassing to admit the amounts of bullshit I assumed must have a bit of scientific backing behind them before reading this book. The most obvious one being the whole fish oil idea, hmm. But I’m guilty with an excuse. I am someone who really doesn’t like the taste of fish. There are times when I will eat fish – those times are directly correlated to when I’m in a Japanese restaurant – but I’m really not going to thank you for giving me fish. Particularly something strong and oily like sardines. I can understand why some people might want to put sardines into other people’s mouths – just as I can understand waterboarding – but to willingly do this to themselves is a form of flagellation I’ve never quite understood – torturing others, fine, but yourself? Not even Dick Cheney water boards himself. I know, there are international conventions on this sort of thing, but they are all so 1945, don’t you think? So, if you want to put sardines in your mouth – and I feel a bit queasy even suggesting such a thing - well, that’s up to you, but I still have to come down on the side of Nuremberg when it comes to doing this to other people.This reluctance of mine to eat fish in general, but oily fish in particular, has made me prone to the idea that I probably should have fish oil supplements to make me smarter or to prevent arthritis, or one of the other wondrous things these oils do. And, if ‘odourless’ wasn’t a cruel hoax, I would be using these tablets today. Fortunately, the problem is that there doesn’t seem to have ever been any conclusive evidence that taking these tablets does any of the things attributed to them, or at least they don’t make you smarter.This is where you are supposed to say, ‘Yep, and that is because of the drug companies – there’s no money in patenting something natural and so they refuse to pay for the research’. Except, the people who do make these tablets make bucket loads of money – so why don’t they pay for the research? Simple answer, they are not interested in ‘proof’, they are only interested in your general feelings of unease mixed with a medical sounding science-y enough sort of vague idea with the right ‘vibe’ that encourages you to buy the damn things in the first place – they don’t expect them to ‘work’, other than psychologically to let you think you have done your bit to improve your health without that ‘bit’ involving you actually eating better food or shifting your arse now and again. How sad we have become when we actually seem to believe that all cures come in pills.This bit of the book, the bit on fish oils and how the company that produced them gave out millions of the damn things in a study (well, not really a study) to see if they would make high school students smarter, is perhaps the most disturbing part of what had been up to this point a quite disturbing enough kind of book to be getting on with. Want to know why kids might not do so well at school? Well, then start looking at the actual diets they have, look at their social class and the stresses and strains that puts on their lives and their ability to study (you know, like not enough food in their stomach, no where quiet to do homework, constant humiliation because they can’t afford pens, paper, uniform, excursions, sports fees) before you give them some crap pill as a cure-all. As is pointed out here, the pills given to these students would have cost more than the school lunches they got.The other things this book will help you understand are, in no particular order – the Hawthorn Effect, the Placebo Effect, why you shouldn’t listen to someone who gives you statistics that are based on percentages, rather than in actual numbers in the population, why your kid needs their MMR jabs – just frigging do it - and how to know if something about medicine is probably bollocks – HINT: if a journalist is telling you and it sounds exaggerated, it probably is and you should probably ignore what they are saying. In fact, one of the best cures to most social ills would probably involve banning journalists from, well, just about everything. Unfortunately, it seems that journalists main qualification in life is that they can write rather convincingly about things they know next to nothing about – how we have not descended into utter oblivion already is one of the mysteries of modern living and one that is still open to speculation. That rational people constantly predict the end is nigh isn’t surprising, that we haven’t all drowned in a sea of pomegranate juice is what is surprising.Like I said at the start – you need this book. Not least so that when you decide you are going to start eating berries with names you can’t even pronounce it won’t just be because Oprah has them on her superfoods list, but because they taste nicer than raspberries – which is basically the only reason one should eat just about anything."
1,0007240198,http://goodreads.com/user/show/1237196-petra-x,5,"10-star book Edit - I have edited the review as the book is now available in the US. Truly a worthwhile read, one up for us against big Pharma!Until recently this book was not available in the US as books that attack big Pharma, alternative medicine gurus (especially the tv variety) and sacred cows like the MMR-Autism myth get sued just to stop publication even if there is no hope of winning the suit. This is an important book and illuminates the part the media plays in the dissemination of information - truths, half-truths and outright (but very profitable) lies in the medical, health and nutrition fields and why we are taken in. Why the truth is both deliberately and in a very cavalier manner hidden from us by all that stand to make a buck, even peripherally like some columnist for a news rag. It also explains, after a fashion, the still not properly understood placebo effect and why therapies that can have no possible physical effects whatsoever, particularly homeopathy with its dilution of the active ingredient to the nth degree, still work! We are amazing! The book is too."
2,0007240198,http://goodreads.com/user/show/155663-david,5,"This is a marvelous book about people getting science--mostly medical and nutritional science--really really wrong. I was struck by an amazing coincidence from the very first page. Just two weeks before I read this book, a friend described to me the foot bath that he had undergone, exactly as described in the book Bad Science. He is scientifically oriented, so he was just flabbergasted when the procedure left a brown sludge in the foot bath, but the treatment removed all the pain in his knees from some injury for a couple of weeks. He had no idea how the treatment ""worked"". Very likely, the placebo effect was working.Dr. Ben Goldacre is a psychiatrist, and a weekly columnist in The Guardian. He describes many techniques for spotting ""bad science"". He traces the history of all sorts of wild, so-called ""science-based"" gimmicks, like ""Brain Gym"", homeopathy, anti-oxidants and nutritionists. Goldacre analyzes why people like to believe in stupid things. Goldacre does not beat around the bush--he calls a spade a spade. He calls the pharmaceutical industry ""evil"". He describes dozens of subtle, hard-to-catch statistical gimmicks that are frequently used to justify licensing pharmaceutical drugs. I just loved the quote by Richard Feynman: You know, the most amazing thing happened to me tonight. I was coming here, on the way to the lecture, and I came in throught the parking lot. And you won't believe what happened. I saw a car with the license plate ARW 157. Can you imagine? Of all the millions of license plates in the state, what was the chance that I would see that particular one tonight? Amazing... Goldacre traces the history of the anti-vaccine movement, starting with paper written by Dr. Anthony Wakefield on the relationship between the MMR vaccine (Measles, Mumps, Rubella) and autism in children. It was published in The Lancet in 1998. Wakefield immediately earned about $70,000 for his research, by lawyers who were suing on behalf of parents of autistic children. Eventually he was to receive ten times that much from a legal aid fund. While the paper was truly bad, Goldacre finds most of the fault in the anti-MMR scare not in the paper itself, but in the media frenzy that followed it. The media picked up the story and uncritically pushed the story to the public. Goldacre writes, ""... bullshit has become an extremely important public health issue, ..."" The media fail science spectacularly. While newspapers have specialized health and science correspondents who understand science, but ""editors will always--cynically--sideline those people and give stupid stories to generalists, for the simple reason that they want stupid stories. Science is beyond their intellectual horizon, so they assume you can just make it up anyway.""This book is definitely eye-opening. It is well written, engaging, humorous at times, but at the same time completely serious. And, after reading this book, you will be in a far better position to objectively evaluate the quality of medical research. Highly recommended!"
3,0007240198,http://goodreads.com/user/show/1376766-becky,4,"This book is both fascinating and frustrating, and illustrates that the only way to get the real info on anything is to be a scientist. Data scientist, research scientist, medical scientist, science scientist, mad scientist... But the good news is that one doesn't need to be a PROFESSIONAL scientist in order to get to the truth of an issue, but one just has to have the kind of critical thinking that a good scientist applies. After all 87.3% of people know that 77% of statistics can be made to show anything at all, and 31% of statistics are made up on the spot. It's a real problem, because 68% of all people believe 54% of all statistics they encounter, and question only 1.8% of them. And those only because they are less than 45% in agreement with their pre-determined position on the topic. So, what all that means is that you should dust off your bullshit detector. I know that I've had to pull mine out of storage. (There were birds nesting in it. I've relocated them to a lovely tree in my back yard. They're settling in nicely. ) There is just so much conflicting information out there that it can be hard to know what is real and what isn't, and this book seeks to help you educate yourself on how to find out. And it takes work. You have to be willing to dig for info, and not just fall into line with the first scare-tactic headline you read. You have to be diligent in not only doing your own research but being analytical enough to make sense of it, and open minded enough to accept it as the truth, even if it's not the answer you wanted. You would think that so much of what is related in this book would be common sense, but it is kinda scary how much stock people put in a sensational headline, or a passionate celebrity with anecdotes to spare. I totally include myself in that, and I don't fault anyone for trying to raise awareness to an issue that they feel passionately about. But manipulating facts to make a claim, or having no facts at all and just going by what sounds plausible or ""feels"" right is not OK, especially if it means that society is put at risk because of a fear of vaccinations. For example. This book is kind of a hybrid of The Panic Virus: A True Story of Medicine, Science, and Fear and Idiot America: How Stupidity Became a Virtue in the Land of the Free (both of which I highly recommend), but with more scientific method... and bringing more awareness to the bullshit method. And it was great. Enlightening and eye-opening, but there's a flaw in Goldacre's reasoning about some things, and it bothered me just enough to drop a star. Throughout this book, Goldacre talks about manipulation possibilities for clinical trials, ways that they (drug companies, etc) can make the product they are testing (and spending many millions of dollars to develop) look as beneficial as possible. This runs the gamut from testing them against placebo, or inaccurate doses of a competitor's drug, so that theirs comes out performing better, or the competitor's drug causes side-effects from the inaccurate dosage, or running a trial for longer than originally designed (until the data bears out better results) or shorter (so that the results don't start going downhill after a good start), or selectively choosing people more likely to respond well, or not randomizing, or not blinding the study, or moving the goal posts (drug was developed as a pain reliever, but didn't perform well for that purpose, but people are dropping weight like a bad habit, so now they're calling it a diet pill), or just not publishing (or purposefully publishing the study in an obscure place), etc. All these methods of manipulating the results or making it hard for people to find out what was actually in the study, and yet Goldacre still puts a lot of credence and trust in published studies in general. While I, the cynical one, am sitting here thinking: Why do you assume that they aren't lying? Why do you assume that they are going to publish that they gave the improper dosage of a competitor's drug in the trials? They have a stake in ensuring that their drug comes out on top, and it's clear that manipulation happens, so why would anyone think that it would then be published in their report? Is it not likely, if they lack ethics enough to manipulate the data in the trial itself, to then report that they did not? I just felt that assuming that reports are going to accurately reflect EXACTLY what was tested is a stretch, especially when we're talking about people and companies with a financial stake in marketing their product, and questionable, shady ethics. Anyway... aside from that one thing, this book was great. I really enjoyed it, and felt that it was the right mix of serious and humor, as well as the right mix of science and narrative. I definitely recommend this. The audiobook is pretty great as well. I liked the reader a lot. "
4,0007240198,http://goodreads.com/user/show/60866073-baba,3,"Actual real proper medical doctor Ben Goldacre disassembles some of the biggest :cough: bullshitters supposedly sharing medical, health and/or nutrition theories or even cures at best just placebos, or at worse harmful, who in many cases have their voices amplified by the media. Although this book is really informative, interesting and at times funny, it also has an elitist edge to it, one that I can see Goldacre really tried not to give.He also was at pains not to make it like a text book, bit it sure felt like it at times, and maybe this is the reason why false narratives do so well, because they are made to be easily assimilated; whereas the truth, like what Goldacre produces here cannot be so simply put, because reality is not simple. 7 out of 12."
5,0007240198,http://goodreads.com/user/show/2858613-tania-kliphuis,2,"I wish that I could give this book 4 stars. I tell you what, I give the idea for this book 4 stars. Unfortunately though, the execution wasn't so fantastic. That said, I do think that anyone interested in the way that the media are able to influence public opinion about serious matters, and in the recent explosion of health-related reality TV should give it a read. It is an interesting book if you can get over the shoddy editing and Goldacres' pomp and ceremony.Goldacre insists that this should be ""an entertaining read"" but it just falls short. Whoever edited it allows Goldacre to be all over the page, which is unnecessarily distracting. Certain catchprases are also overused, which again makes me wonder who the editor was. That said, he probably fought his publisher tooth-and-nail to ensure that his precious book didn't lose its ""essence"" or something. For all of his insistence that ""Humanities graduates"" (the journalists) don't have the knowledge and wherewithal to write scientific news reports, Goldacre and his fancy-pants BSc perhaps should have hired one to help him write an entertaining non-fiction book.Which brings me to my final gripe about the book. Goldacre has a condescending attitude towards anyone who does not have a BSc. In fact, people who do have a BSc but have not had the opportunities to find a career in which to use it also get an irritating ""oh shame"" moment from him. Actually, Ben Goldacre is just condescending. This is a great pity because these are the very audience he has written this ""entertaining read"" for. So, yes, it's ok. It will certainly put you off homeopathy. "
6,0007240198,http://goodreads.com/user/show/66513638-gtf,4,"After reading 'Bad Science' I don't think I will believe another health fad ever again. Ben Goldacre's impressive aptitude for scientific analysis and research reveals how science is more complex than we realize, which unfortunately doesn't always satisfy our want for quick fixes to our health problems. Although more complex in nature, Goldacre stresses that people are not incapable of understanding scientific facts or findings, it is often just a matter of people receiving false information through the media by people who believe they have figured out solutions to certain health problems. Goldacre covers everything from the power of the placebo affect, the MMR and the MRSA hoaxes in 90s, mainstream medicine, homeopathy, nutritionists cherry picking the truth, and he even takes an unbiased stance on the pharmaceutical industry, and admits that while there are sometimes unethical tactics used by some people in the pharmacy industry, it does not mean that science and medicine are out to deceive people. Goldacre repeatedly mentions that there are plenty of people in this field who care about the truth, and who are vying for the truth to receive recognition. It is amusing to read about Goldacre simply debunking a lot of mickey-mouse-science out there, but there is a more serious side to this reality, including how some scientists don't know how to correctly interpret research, how a worrying amount of incorrectness is being taught in universities in nutrition courses, and how actual scientific findings are being ignored for not being fun or marketable, and thus people not receiving possible treatment for potentially deadly conditions. This book would be a very enlightening read for anyone. My four-star rating is purely due to the fact that I prefer to read fiction, not because I can refute anything that Goldacre says."
7,0007240198,http://goodreads.com/user/show/44824883-paul-e-morph,5,"This book has some important lessons to impart and, as loathe as I am to tell anybody what they should or shouldn't read, this is one of the few books I wish could be made compulsory reading.Goldacre writes with passion about subjects that are clearly important to him and yet still manages to write conversationally and with good humour. Parts of this book made me laugh out loud and parts of this book, sometimes less than a page later, made me both angry and desperately sad. One chapter (on the MRSA debacle in UK hospitals) actually brought tears to my eyes.Lessons this book illustrates extremely well:1. Correlation does not equal causation.2. 'Anecdotal evidence' barely qualifies as evidence at all.3. Research must be performed correctly, with a control group and a large enough trial group for the study to be statistically significant. Oh, and without a pre-existing bias, obviously.4. Evidence should be checkable and from a reliable source. If medical 'research' has only been published in a colour Sunday supplement in a tabloid newspaper, it's most likely not worth the paper it's written on.There are many other lessons to take away from this book but if I add more I run the risk of just paraphrasing the entire book and the author has explained it all a hundred times better than I could. Just read the book. I promise you you will learn something and be entertained along the way."
8,0007240198,http://goodreads.com/user/show/220791-lena,4,"Ben Goldacre is a man with a mission. A UK doctor who writes a column for the Guardian, he'd like it very much if people would stop making their health decisions on the basis of crap science.Unfortunately, there is an awful lot of crap science out there. So Goldacre does his best to educate people about how to tell the difference between the good, the bad, and the ugly.Along the way, he entertainingly uses the usual suspects of homeopathy and foot detox baths to illustrate his points. But he also takes on something called ""Brain Gym,"" a UK school program supposedly designed to improve learning, the rather outlandish claims of cosmetic cream manufactures, famous (in the UK at least) TV ""nutritionists"" pushing their own lines of fancy supplements, and the entire pharmaceutical industry.In the process, he strives to help readers understand why so much of the science reported in the media is unreliable. His section on media distortions of science was among the most valuable parts of the book. He highlights the malignant tendency of the media to publish sensationalistic scare stories based on only the thinnest of evidence. One of his hints to keep in mind when reading a new story - if a doctor announces an incredible new breakthrough via press release, rather than peer reviewed journal, be very, very skeptical.The book was written in 2008, after Andrew Wakefield's paper linking the MMR vaccine to autism had already been withdrawn, but before he was found guilty of the outright fraud he actually perpetuated. Goldacre spends a section reviewing this scare in detail, pointing out that the media's later vilification of Wakefield would never have been necessary if anyone with a basic understanding of science had written the story to begin with - the original paper was so flimsy it didn't warrant the attention it got even if it hadn't turned out to be fraudulent.It's Goldacre's discussion of the MRSA scare in the UK that is even more disturbing, however, as he demonstrates how this scare was essentially fabricated by a media hungry for sensational news. I'm not sure I agree with him that this is the fault of humanities-trained journalists who think science is subjective and therefore feel justified in giving equal time to totally unqualified ""experts,"" but there's no question the media's habit of reporting shaky sensational findings and completely ignoring follow up studies showing the original stories were in error is seriously hazardous to our health.It was also interesting to hear his theory that part of the reason that pharmaceutical companies are prone to sensationalizing mediocre results is because the low-hanging medical fruit has already been harvested. During the middle part of the century, phenomenal life-saving breakthroughs were happening all the time. Since the mid-'70's, however, very few of these have occurred, which Goldacre suggests is the reason why Pharma has turned to ""medicalizing"" common complaints and pumping up iffy research findings in effort to preserve profits.His chapter on HIV denialism in South Africa was also very enlightening. He explains the cultural and political factors that combined with bad science to result in a devastating governmental policy of recommending beetroot to AIDS patients instead of antiretroviral drugs.Goldacre has real faith in the ability of non-scientists to understand the basics of what makes good science if they have the motivation to do so. But the overwhelming abundance of crap science in all areas of our lives has resulted in what he calls ""corrosive intellectual side-effects."" While it may be harmless in the short term for people to indulge in a little homeopathy every now and again, the damage and death from things like declining vaccination rates and HIV denialism is all too real. This book offers a powerful inoculation against that disease. "
9,0007240198,http://goodreads.com/user/show/416390-paul-bryant,3,"Beads that sparkle like a prism, snake oil for your rheumatism, Calico and gingham for the girls.Cast your eye on Dr. Borer’s patent-pending hair restorer,guaranteed to grow hair on a billiard ballHands up who doesn't recognise which gender-bending musical those portentous words emanate from ?Okay, it was Calamity Jane. You knew that, I know. Can't just be me whose mind is stuffed with the lyrical junk of six decades.Onward to the review.Ben Goodacre is the sworn foe of all modern-day medical mountebanks, and there's a whole internet full of those around, more than you can shake a juju stick at, so he has a lot to do and he bounds out of bed each morning and rattles off his Guardian column about – let’s say – homeopathy and just how REALLY INSANE it is – then jumps in his E-Type Jag and straight to the airport where a plane is waiting to take him to Minnesota where the local tv station in St Paul is about to interview Dr Cleothilde Barnfather who is recommending everyone to take fishoil pills every day, but only particular ones enriched with antioxidants and infused with chlorophyll, yeah that’s right, only his own brand Barnfather Live Forever Fish Oil (tag line “they’re easy to swallow because they come from a fish”) – now then, brave Ben is about to reveal the author of the bestselling Fish Oil Will Enable You To Outlive Your Great-Grandchildren as none other than... (gasp) Randy Merckenschlitzfer, failed used tumbledrier salesman and no doctor at all – his PHD was obtained through the post from some institution in Albuquerque which frankly no one has heard of including the janitor of the block of flats in which it is supposed to reside (Ben has checked) - hah! Take that! And that! Where’s your double-blind randomised clinical trial for your fishoil pills “Doctor Barnfather”, or should we say Randy? Oh, there never was one? How not surprised I am! Viewers, this guy is a FAKE. Naturally, everyone goes on buying the fishoil pills and Randy buys another swimming pool, this one made in the shape of a haddock, and Ben Goodacre writes some even angrier columns about it and feels marginally better, just as Randy’s customers do.Knockabout aside, this book exposes the shoddy thinking and egregious lust for non-existent breakthroughs, miracle cures and health horror stories which bedevil the British press and which are perpetrated by humanities graduates who do not understand scientific method or basic maths. Two are given the full treatment (the MRSA hospital superbug non-epidemic and the MMR-vaccine-causes-autism hoax) and many other rubbish claims are debated in a breezy manner which – alas – all sounds like preaching to the converted to me, and also scores uncomfortably high on the science-nerdometer for this English/Theology graduate.There are graphs. You have been warned."
