,isbn,user_link,ranking,review
0,039335038X,http://goodreads.com/user/show/13266158-samadrita,4,"Neil deGrasse Tyson is a force to reckon with. But he is not Carl Sagan. While Sagan must have smiled down kindly on your meek acknowledgement of ignorance regarding, say, black holes, Tyson will have most probably given you the stink eye or aimed a sarcastic jibe at your apathy, before proceeding to explain why black holes still remain a topic of much speculation in the community of astrophysicists worldwide.Tyson does not pull any punches in this collection of essays while slamming the news media, who more often than not, come off as ill-informed hacks doing a shoddy job of reporting facts in the field of space science, forever (stupidly) claiming how scientists are baffled by so-and-so new developments. 
""Scientists cannot claim to be on the research frontier unless one thing or another baffles them. Bafflement drives discovery.""
Or snidely commenting on the Hollywood exercise of producing multi-million dollar sci-fi films which badly butcher the scientific aspects of such ventures by inserting factually incorrect observations in scenes and dialogues. (there's a brilliant anecdote concerning James Cameron's 'Titanic' in this regard and the Contact film gets an honorable mention for its adherence to proper science if one overlooks a minor gaffe)
""I am glad that, in the end, the humans win. We conquer the 'Independence Day' aliens by having a Macintosh laptop computer upload a software virus to the mothership. [] The entire defense system for the alien mothership must have been powered by the same release of Apple Computer's system software as the laptop computer that delivered the virus.""
Or criticizing the mad dash for extending the frontiers of space science during the Cold war years, when the spirit of scientific inquiry was sidelined in favor of a dangerous game of political one-upmanship, a kind of puerile assertion of 'our scientists are better than yours'. Or openly chastising revered names from ancient Greece like Aristotle whose inaccurate assumptions about the unchanging nature of stars and the geocentric universe helped the Catholic Church in propagating falsities for centuries with impunity. (He doesn't even spare Newton for God's Higgs Boson's sake who, unable to satisfactorily explain the ordered behavior of the solar system despite the many often conflicting gravitational forces at work, had cited God's need to step in to correct things in his famed 'Principia')While Sagan may have adopted a more benign, less aggressive tone in course of addressing issues of religious dogma being at loggerheads with scientific reasoning and aversion to science and mathematics among the general populace, NDT takes the approach of pure, unadulterated logic and demolishes one popular misconception after another (for e.g.:-the North Star is not the most brilliant star in the night sky or how everything that goes up doesn't come down) with a brute force which I am certain will not sit well with some sensitive readers who are easily offended. Being born in a country whose space research organization head performs pujas and makes ritualistic offerings prior to launching a 'Mission to Mars', I can't say I fault NDT's acerbic tone or his distaste for those who are hell-bent on unifying science and religion without even realizing that finding common ground between both is akin to attempting to exceed the velocity of light. But if NDT lacks Sagan's sage-like demeanour and his rich, authorial voice (Sagan's prose is much more refined no doubt), his excellent sense of humor almost compensates for their absence - 
""The good thing about the laws of physics is that they require no law enforcement agencies to maintain them, although I once owned a nerdy T-shirt that loudly proclaimed, ""OBEY GRAVITY.""

""The only people who still call hurricanes 'acts of God' are the people who write insurance forms.""
(and Michele Bachmann, just saying)And occasionally there's a sop thrown in for the literary-minded (particularly the postmodernist fiction lover) - ""The physicist Murray Gell-Mann, who in 1964 proposed the existence of quarks, and who at the time thought the quark family had only three members, drew the name from a characteristically elusive line in James Joyce's Finnegans Wake: 'Three quarks for Muster Mark!'""
The more frivolous aspects of the essays aside, among the astrophysics-related topics NDT centers his discussions around, the ones which were relatively new to me are the concepts of hypernovae, gamma ray bursts, dark matter and dark energy, the uncertainty surrounding the string theory and the probability of the annihilation of Earth through ill-fated, cosmic encounters with errant asteroids, the unavoidable, impending collision of our galaxy with the Andromeda galaxy which is the nearest one heading towards us at a speed of more than 100 kilometers per second.The Andromeda GalaxySince this is a collection of 42 essays which were published in the 'Natural History' magazine, some repetition of concepts and names creeps in occasionally but that merely helps you refresh memories of what you just read a few pages back, not exactly a shortcoming I am keen to quibble over. 4 stars, because Tyson seems a little too bitter about artists who exercise 'artistic license' to distort certain astronomical facts in their paintings. Besides I am certain there is a lot of 5-star-worthy goodness in the rest of NDT's works left for me to discover in the future."
1,039335038X,http://goodreads.com/user/show/4213258-bradley,5,"This is a very fun read for all you science nerds... not only being clear and humorous but wide-ranging and careful to build up a number of those necessary building blocks of knowledge but doing it precisely in order to slam you with the good stuff later.Like how you'd DIE IN A BLACK HOLE... :)To belabor the obvious by the title. :)Seriously, this book gives us a ton of great ways to die and not just by black hole. I really appreciated that. :)I'd characterize this book as an easy to intermediate stage science book that's very far from being dull and it has a minimum of equations. I'm sure everyone has heard of thermodynamics and E=MC squared and Drake's equation, after all, but what really thrilled me about this was the truly wide array of subjects and Tyson's conversational tone.You can tell he is still a very, very good science teacher. :)I can almost hear him say, ""Let's throw out the crap, folks, let's dive right into the good stuff."" And he does, ranging from the Big Bang to the Heat Death, kinds of possible life on planets, the building blocks we need to understand science, including a great ""stick"" analogy for understanding the universe without computers, and he even gets into a bit of politics and religion because let's face it: it's a hot discussion item. But thankfully, it's only there as an afterthought.I wanted science and I got science, exploring the planets, the sun, even quasars, and especially Black Holes. That's the yummy stuff, after all.  10/10 Black Holes agree! Nom nom nom nom nom. I totally recommend this for both laymen and the intelligently curious and for anyone else who just likes a bit of the good (science) life. It really, really helps that Tyson's a great writer and clear as glass. The light passes right through it without slowing down at all! Can you believe it?"
2,039335038X,http://goodreads.com/user/show/70078-chloe,4,"Within my skull, where all of those vital pieces of data surrounding science are supposed to be stored, there is instead a vast beaker-shaped void of ignorance. In high school, while we were supposed to be studying the musculature of the formaldehyde-soaked amphibians pinned ignominiously to their coffinesque metal trays, I was far more interested in studying the effects of adding fire to small green buds. During my brief time wandering the hallways of the University world, I was able to do away with my prerequisite requirement by taking an “Arts of Science” course tailor-made for those more interested in empathy than entropy and, while I did manage to get a crocodile on my report card, all I took away from that class was an abiding hatred for hippies. The long and the short of all this is that I didn’t know a quasar from a neutron or a brown dwarf from a red giant (though Red Dwarf was a magnificent television series).As a devout lover of science fiction and hi-tech gadgetry of all sorts, this was a matter of not a little shame for me. To resolve this I decided that it was time for me to fill in some of the (immense) gaps in my education the best way I know how- via book. Yet how to avoid having my eyes glaze over the moment someone started explaining cell structures or complex wave fields? Fortunately, as it often does, my television provided a solution when Stephen Colbert took a visit to the American Museum of Natural Historys Hayden Planetarium and spoke with its Director, Neil deGrasse Tyson. Tyson, while just as geeky as you would expect from an astrophysicist, is phenomenally skilled at taking incredibly complex scientific theories and translating them into a Common English that even Stephen Colbert is able to understand. My fate was sealed. This man was the ideal author to ease myself into the brave new world of stellar science.Death by Black Hole is a collection of essays the Tyson penned for Natural History magazine over the course of several years. Each essay addresses a different topic, running the gamut from the birth of the universe, the history of astronomical discoveries, humankind’s fixation on the red hills of Mars and the life-bringing water that may lay frozen away, all the way to the Pluto Wars (it’s amazing just how contentious Pluto’s status as planet is). Of course there’s some overlap between the chapters and some facts get repeated but, rather than bugging me, I found it to be a good refresher of what had come before that helped solidify my basic understanding of the concepts at hand. Most interesting to me, policy junkie that I am, is the closing essay in which Tyson writes about the plague of scientific ignorance sweeping the country. After almost brutally doing away with that Bible-in-textbook-clothing anachronism that is “intelligent design,” he makes great points about America’s waning prestige in scientific research and the future costs, both economic and academic, that we will have to pay due to ceding our intellectual priority to advance knowledge. I’m not much interested in sustaining American supremacy in any field, but I can always get behind an argument for strengthening education.What I most enjoyed was the excitement that Tyson has for his field. He doesn’t get bogged down in the minutiae of atomic weights and the like, but thrills at the possibilities of quantum mechanics and takes an almost excessive amount of joy in ruminating over the possible ways that people can be killed in space from the atom-splitting nullification of crossing a black hole’s event horizon to the persistent fear of a species-leveling asteroid striking Earth. Tyson is a man possessed of a childlike sense of wonder at the mysteries of the universe that sees the current limits of our scientific understanding not as having reached the final frontiers of science but as hurdles to be vaulted over in our quest to know. His enthusiasm is quite contagious and I challenge any reader to emerge from this book without being excited about science."
3,039335038X,http://goodreads.com/user/show/858949-chris,4,"I have often lamented the passing of my favorite popular scientist, Carl Sagan, by talking about how necessary he is right now. We are at a point in our history where scientific illiteracy is growing, where people are not only ignorant of how science works, but are proud of their ignorance. What we need is someone who can reach the majority of Americans who are not especially scientifically literate - the people whose automatic reaction to science is to think, ""That's just too hard for me to deal with.""Enter Neil deGrasse Tyson, an astrophysicist and the director of the Hayden Planetarium at the American Museum of Natural History in New York City. He's appeared on countless television programs, including The Daily Show and The Colbert Report, to talk about the current state of astronomy and astrophysics. He's an engaging and entertaining man, who claims that Pluto was ""asking for"" its demotion, who seems to take perverse pleasure in describing all the terrible ways the universe could take us out. He knows that we're in a precarious position, here on Earth, and he revels in it rather than worrying about it. Whereas Sagan seemed to come from the point of view that the universe was a place of infinite wonder, where one could look anywhere and be awed and humbled, Tyson's attitude is more of the universe as an infinite theme park - a place where you could see your electrons stripped from your body, watch gas clouds larger than our own solar system collide and ignite, or see planets crumple under cosmic bombardment. Tyson's universe is an adventure, as big as it gets.This book is a collection of essays that Tyson wrote for Natural History magazine over a ten year period, on a variety of subjects related to science and scientific inquiry. In many ways, it's similar to every other pop science book out there - and there are so very many of them - but it is his perspective and his voice that makes this one stand out from the crowd.He's grouped his essays into seven sections, on topics ranging from the difficulties inherent in actually knowing anything about the universe to the understanding of how life went from little mindless bacteria to we clever Homo sapiens to the intersection of science and religion. Most of it is accessible to the average non-scientist, though he does get a little technical at points. But he understands that, and he tries to compensate for for the fact that, by and large, the public is intimidated by ""real science."" In the essay entitled, ""Over the Rainbow,"" he discusses this particular challenge by using spectroscopy as an example.In spectroscopy, astrophysicists look at the spectrum of a star, hunting for telltale dark lines that indicate the physical properties of stars. It's like looking at a rainbow with bits blackened out of it, as though the CIA had somehow gotten to it first. Those black lines contain all the vital information about the star's composition and, more importantly, speed. Very little can be gleaned by just looking at the star, as it turns out. He notes five levels of abstraction, starting from the star itself:Level 0: A starLevel 1: Picture of a starLevel 2: Light from the picture of a starLevel 3: Spectrum from the light from the picture of a star.Level 4: Patterns of lines lacing the spectrum from the light from the picture of a star.Level 5: Shifts in the patterns of lines in the spectrum from the light from the picture of a star.These descending levels of abstraction can apply to any branch of science, not just astrophysics. The challenge, as he notes, is getting people past level 1, which is easy to understand but is not the level at which true science is done. It is up to educators, he says, to help make people comfortable with looking at real science, and not just pretty pictures.Indeed, there are several sections of the book dedicated to the intersection between science and the public. He talks about how easily we are baffled by numbers (why are below-ground floors not labeled -1, -2, -3 etc?) and how casually we disregard actual scientific facts. He brings up some of his favorite moments in bad movie science, and how he single-handedly saved Titanic from ignominious astronomical shame. At least, on its DVD re-release. He addresses the historically shifting centers of science in human history, how things like NASA are truly a global endeavor. Without the discoveries made through history by people all over the planet - from England to Greece to Baghdad - there would be no NASA, nor any science that we recognize. And to assume that the United States will always be the center of scientific discovery is to willfully ignore history.And, of course, there's a section dedicated to the conflict between religion and science, a never-ending battle that has existed since science began. Tyson believes that there can be no common ground between the two - science relies on facts, religion relies on faith. This is not to say that one is better than the other, any more than, say, a hammer is better than a screwdriver. It's just that you can't use them interchangeably. And he points out that becoming a scientist doesn't require you to give up your faith. There have been, and still are, countless scientists who are believers in the Divine. It's just that most of them know enough not to confuse science and spirituality. The place where they meet, historically, is on the boundary of ignorance. Isaac Newton, having figured out gravity, couldn't quite work out how you could have a multiple-body system like our solar system without the whole thing falling into chaos. His conclusion - God must, from time to time, step in to keep things on the right path. Having done that, Newton went on to do other things, and it wasn't until the next century that Pierre-Simon laPlace decided that he wasn't satisfied with Newton's ""Insert God Here"" argument, and did the math for himself.In other words, God is a marker on the boundaries of ignorance, and the best of us are tempted to let Him answer the questions that we can't. To do so, however, impedes the path of science and stops progress in its tracks. What if Newton had said, ""No, I'm going to figure this damn thing out."" Would we be a century ahead in our technology by now? Maybe, maybe not. What if the Catholic Church had listened when Galileo said, ""The Bible tells you how to go to heaven, not how the heavens go."" Might more progress have been made? So many great thinkers have come up to the boundaries of their knowledge and, humbled by what they do not know, chose to allow The God of the Gaps reassure them.But that's the whole point of science, and it's what this book, and others like it, are trying to instill in people. The unknown is not horrible, it is not terrifying, and it's not a place to just stop. It's a place of awe and wonder and bafflement and opportunity. To say, ""I don't understand it - it must be God"" is short-changing ourselves and our heirs out of even greater knowledge of the universe."
4,039335038X,http://goodreads.com/user/show/7392197-jocelyn,5,"I don't think I can properly explain how much I love this book, but I'll try.Death by Black Hole: And Other Cosmic Quandaries is a collection of essays Tyson wrote for Natural History, a magazine dedicated to -- you guessed it -- natural history (basically, science) between 1995-2005.What I like about it:- Tyson writes in a way that's easily accessible for anyone even without a science background. His analogies are easy to understand and they're fun. Like, ""Oh, Neil deGrasse Tyson, you."" Also, he tries to explain complex terms or theories so that you can finish the book and be a pseudo-astrophysicist. Now you can go to dinner parties and impress people with your knowledge about quarks and black holes and radio waves.- Tyson's writing is jovial and light-hearted. He frequently cracks jokes to lighten the mood -- you don't want to be bored. (Of course, I am a huge physics nerd and he could drone on and on about string theory and it could never bore me.) At one point, he jokes about red shirts. Red shirts, people! This guy's a winner.- Tyson takes the time to highlight two ways science (broadly) and astro-/physics (specifically) relate to both theology and culture. The Science and Culture section of the book was interesting, because what he describes is true: there is a misunderstanding between what scientists are doing and what the public thinks the scientists are doing. His little asides (rants) are fun, too.- This was a very informative book for just being a collection of 5-10 page essays. If you're new to astrophysics, the universe and particles, this stuff is like gold -- I don't think I've seen/heard any of the phenomena explained in a clearer way. If you're not new to any of this, then you probably shouldn't be reading this because you've probably already read it. Unless you really like it.Issues for some people, but weren't issues for me:- I understand that some people may go, ""Ugh, why does everything that has to do with science bring up religion and God!"" Tyson does dedicate a whole section of the book to (omg) 3 essays dealing with religion's place in science. He does so tactfully and tastefully. I'm not a religious person, but I don't think he would have offended anyone. And besides, religion and science have been at each others' throats since the dawn of both. If a popular astrophysicist didn't bring it up, someone would have asked why he didn't bring it up.- There's some repetition going on because, if you've read the preface and my review you'll know, this is a collection of essays from a magazine. There's bound to be some repetition because non-sciencey readers need to be reminded that Planck is considered the father of quantum mechanics and that Einstein's theory of relativity is a furthering of Newton's theory of gravity. Honestly, the repetition isn't enough where you would roll your eyes and mutter, ""Redundant.""- Some people may not be okay with Tyson's little rants. In one part he complains about the scientific ignorance going on in Hollywood skylines. Some readers may just want him to stop complaining and shut up already, but he has a right to his discontent. When you're a professional in your field, things that are obviously wrong annoy you more than those that don't belong to your field. You should see how irritated my family gets when I point out the inconsistencies movies have in regards to language and sociolinguistic situations. His annoyance is justified.Basically, what this all boils down to is this:How can you not like a man who dresses in a waistcoat with suns and stars on it?How can you not like a man whose reaction to Newton became a meme?Seriously, though, this book is awesome."
5,039335038X,http://goodreads.com/user/show/309472-maria,3,"I have one last section to go (Religion and Science), but my main points won't be affected by it.Death By Black Hole provides, especially in the first couple of sections, a really good outline of various problems that astrophysicists are confronted with, and it definitely made me think of the scientific process in a new way. So that was pretty cool. But on the whole, my reaction was rather meh - kind of disappointing when the book really isn't bad. My main complaint about the book isn't actually the book's fault. It's just way below my level, and I found myself frequently bored. I think the best audience for the book is someone who's never had an astronomy class, and is maybe familiar with basic physics and chemistry. I would have enjoyed it a lot more if I read it in high school. I did learn a handful of new things, and sometimes Tyson's explanations helped some points I was fuzzy on click into place, but on the whole, I would have preferred the book to be much more detailed.My second problem is that, as Tyson says in the preface, the book is composed of various essays that he wrote for a magazine over the years, and that they were only slightly edited for continuity when he was preparing the book. Big mistake. While this divided the book into bite-sized, easy to process pieces, it also made it a helluva lot repetitive. Several phenomena were explained two, or even three times throughout the book. It should really have been edited a lot more aggressively.But on the whole, I think this is a really good pick for a layperson who doesn't know much about astronomy and isn't interested in involved explanations of the physical and chemical side of things. Neil deGrasse Tyson is one eloquent guy, and writes with an infectious passion for his subject. "
6,039335038X,http://goodreads.com/user/show/155663-david,5,"As a scientist, at first I was rather bored by this book. I was not learning anything new, and not gaining new insights into astronomy.But, as I read further, it just hit me--this book is tremendously entertaining! If you are a layman, and looking for a unique viewpoint, you could do a lot worse than this book. And, believe it or not, you will be entertained!In addition, Tyson puts several aspects of astronomy and astrophysics into a unique perspective. He describes all the ways that the universe is trying to kill us--storms, viruses, meteors, comets, climate change, volcanoes, and so on. But many of these lethal phenomena could be responsible for life existing on Earth, in the first place!I really did appreciate the arguments put forward against the idea of ""Intelligent Design."" Just because some areas in cosmology are not understood, does not mean that one is required to invoke God as a cause. Science always works on the frontier of knowledge, and if we were always to state that God is responsible for things we do not yet understand, then we would be working on the frontier of ignorance. Tyson does a much better job than I can, in explaining this concept. Highly recommended!"
7,039335038X,http://goodreads.com/user/show/5448792-b-schrodinger,4,"Neil is without doubt one of the greatest scientific communicators alive. He is erudite and hilarious with no apparent effort and can always bring the 'wow'.I enjoy his podcast and have probably watched near all videos on youtube that feature him. This is the first time that I have tried his written work and I am very pleased with the results.This work is a collection of editorial pieces that Neil writes for a periodical. They are intended to be short, punchy scientific stories and not form an ongoing dialogue.In this respect Neil did a brilliant job. I dipped in and out of this book over the last couple of weeks and it was simple to pick up again after each break. I read it while doing experiments in the lab, and I read it while on the toilet.What let the collection down (just the tiniest smidgen) was that some material was covered twice. Fine for an ongoing column and understandable for a collection, but still, a little work could have been taken to cull and back reference sections.Don't get me wrong, I adored this book. And anyone who has not discovered love for Neil needs to read it immediately. You'll definitely connect with him if you are sceptical, scientific or just a spotter of bullshit.This book left me wanting more. I want some long form stories, woven into a larger narrative. I have 'The Pluto Files' on my shelf. Maybe it won't be long before I open it."
8,039335038X,http://goodreads.com/user/show/1085121-stephanie-extremely-stable-genius,3,"Blinded by scienceEinstein, Io, comet tails Information glutI consider myself an intelligent person. I also find science fascinating. I'm just not sure what happen between me and Death by Black Hole: And Other Cosmic Quandaries.....Maybe I just wasn't in the mood for a science-y book. Maybe I over estimated my intelligence. Both are quite possible. The whole time I was listening to this, it was like listening to Charlie Browns teacher. whaa wha whaa wha whaa Galileo, wha wha E=mc2, whaa whaa whaa Gravity sucks.I would get some really good, crunchy tidbit and be riveted.....and then the mind would drift to something like ""I wonder if I fed the cats, and CRAP I forgot to start the dishwasher""........then I would drift back to the science stuff.It just didn't hold my attention."
9,039335038X,http://goodreads.com/user/show/37690097-ahmed-r-rashwan,4,"So I have a thing for Black Holes, so what?! You knew that already! You didn't? Well now you do.I have had an obsession with Black Holes for as long as I can remember. It was perhaps one of the first phenomena of the big umbrella of Astronomy and Cosmology that I was introduced to and I immediately fell in love with; I mean what is there not to love. An equal or even grander obsession is awarded of course to the author of this brilliant book.Of course, as with almost all scientific books, the title is pretty elusive. Yes, there was talk of Black Holes, a lot of talk, but there was a slew of other cosmological subjects too! But, of course, you will hear absolutely no complaints from me. As my favourite astronomer, I am inspired by Neil deGrasse Tyson much in the same way he was probably inspired by Carl Sagan.There is probably no other human beings on this planet that have invested more to the field of astronomy like Sagan and Tyson have. I, of course, do not mean this in a scientific sense but a commercial one. Sagan and Tyson are to Astronomy what Bill Nye is to Science.So for all intends and purposes, this review is in fact a form of praising for Neil deGrasse Tyson and his meaning to me as a person rather than a review of the actual book. There are simply some people out there who's literary work is completely overshadowed by their contributions to the subject upon which they write about, so I will dismiss the small quantity of repetitiveness inherent in all scientific books (especially ones comprising of several essays).They tell you never to meet your heroes, that it is somehow inevitable to be disappointed by such an interaction; that the perfect image you have most definitely built of your heroes is most certainly to fall short of reality. But while I cannot claim to have met Neil deGrasse Tyson, I have at least had a closer glimpse to his personal opinions and thoughts. I shied away from this book for the longest time specifically for fear of being disappointed by the literary work of a person I probably hold the highest esteem of amongst all people.I don't even recall when or how I was first ""introduced"" to Neil but what followed was an obsession that has lasted years, till this day. I have probably watched his 'Cosmos' show, inspired by Carl Sagan's Cosmos up to at least 5 times. Neil is funny, witty, intelligent and very very charismatic. If it wasn't for him, there would have definitely been so many different aspects of astronomy that I wouldn't have particularly grabbed. His style of ""story-telling"" transports you back to a time when anything interested you, when your explorer genes were yet to be suppressed; just like you were a little kid again. So it comes as no surprise that I read the entire book imagining Neil was narrating it to me, for I had completely memorised his pattern of speech and voice, and it is equally not surprising that I would love any work, literary or otherwise that Neil produces.I ask nothing more of men of science, to be able to pass down the passion in the way that Neil has been very successful in doing is the calling for all of scientists, regardless of their field of study."
