,index,isbn,book_title,avg_rating,author_name,book_desc,genres,19th,20th,21st,academic,adult,adventure,africa,american,animals,anthologies,anthropology,apocalyptic,art,artificial,astronomy,atheism,audiobook,autobiography,biography,biology,birds,book,brain,british,buddhism,business,canada,care,cartography,century,change,chemistry,childrens,classics,climate,club,collections,comedy,comic,comics,communication,computer,computers,conservation,cooking,crime,cultural,culture,death,design,development,dinosaurs,disability,disease,drink,ecology,economics,education,engineering,environment,espionage,essays,european,evolution,fantasy,feminism,fiction,film,finance,fitness,food,france,futurism,games,gardening,gender,genetics,geography,geology,german,ghosts,graphic,health,help,historical,history,horror,humanities,humor,illness,intelligence,internet,italian,italy,journalism,justice,language,leadership,linguistics,literature,logic,management,maps,mathematics,mechanics,media,medical,medicine,memoir,mental,metaphysics,microhistory,military,movements,music,mystery,mysticism,natural,nature,neuroscience,nobel,nonfiction,novels,number,nutrition,occult,palaeontology,paranormal,personal,philosophy,physics,plants,politics,pop,popular,post,prize,productivity,programming,psychology,puzzles,quantum,reference,relationships,religion,russia,school,science,self,sequential,sexuality,short,singularity,skepticism,social,society,sociology,space,spirituality,sports,spy,star,stories,studies,supernatural,sustainability,taoism,teaching,technical,technology,textbooks,theology,theory,thriller,tie,time,travel,trek,trivia,true,tv,unfinished,war,womens,world,writing
0,0,1594488843,drive: the surprising truth about what motivates us,4.0,danielh.pink,"the new york times bestseller that gives readers a paradigm-shattering new way to think about motivation most people believe that the best way to motivate is with rewards like money—the carrot-and-stick approach. that's a mistake, says daniel h. pink (author of to sell is human: the surprising truth about motivating others). in this provocative and persuasive new book, he asserts that the secret to high performance and satisfaction-at work, at school, and at home—is the deeply human need to direct our own lives, to learn and create new things, and to do better by ourselves and our world.drawing on four decades of scientific research on human motivation, pink exposes the mismatch between what science knows and what business does—and how that affects every aspect of life. he examines the three elements of true motivation—autonomy, mastery, and purpose-and offers smart and surprising techniques for putting these into action in a unique book that will change how we think and transform how we live.",nonfiction business psychology leadership self help self help personal development business management education science productivity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3768485485053178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24610936727437915,0.0,0.0,0.0,0.0,0.0,0.0,0.2249084177636906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40275026303800254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2984450681050103,0.0,0.0,0.0,0.3617456892004505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06540415309031819,0.0,0.0,0.0,0.0,0.0,0.0,0.24610936727437915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3431793038603882,0.0,0.12530726027986935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06453786008224141,0.40275026303800254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,033050889X,the mind's eye,3.9,oliversacks,"in musicophilia, oliver sacks explored music and the brain; now, in the mind's eye, he writes about the myriad ways in which we experience the visual world: how we see in three dimensions; how we recognize individual faces or places; how we use language to communicate verbally; how we translate marks on paper into words and paragraphs; and, even how we represent the world internally when our eyes are closed. alongside remarkable stories of people who have lost these abilities but adapted with courage, resilience and ingenuity, there is an added, personal element: one day in late 2005, sacks became aware of a dazzling, flashing light in one part of his visual field; it was not the familiar migraine aura he had experienced since childhood, and just two days later a malignant tumor in one eye was diagnosed. in subsequent journal entries - some of which are included in the mind's eye - he chronicled the experience of living with cancer, recording both the effects of the tumor itself, and radiation therapy. in turning himself into a case history, sacks has given us perhaps his most intimate, impressive and insightful (no pun intended) book yet.",nonfiction science psychology biology neuroscience health medicine medical neuroscience brain audiobook writing essays autobiography memoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13612135507864537,0.3170916591303769,0.0,0.16245694397209134,0.0,0.0,0.3051400015778848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29800967397024214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23538167868519522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2536453380581613,0.2496672071968114,0.30894126703558156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5156351985832136,0.0,0.08666225360770904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16603547414283035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08551439218274934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2946557385239653
2,2,0465090796,quirkology: how we discover the big truths in small things,3.8,richardwiseman,"for over twenty years, psychologist professor richard wiseman has examined the quirky science of everyday life. in quirkology, he navigates the backwaters of human behavior, discovering the tell-tale signs that give away a liar, the secret science behind speed-dating and personal ads, and what a person's sense of humor reveals about the innermost workings of their mind- all along paying tribute to others who have carried out similarly weird and wonderful work. wiseman's research has involved secretly observing people as they go about their daily business, conducting unusual experiments in art exhibitions and music concerts, and even staging fake seances in allegedly haunted buildings. with thousands of research subjects from all over the world, including enamored couples, unwitting pedestrians, and guileless dinner guests, wiseman presents a fun, clever, and unexpected picture of the human mind.",nonfiction psychology science audiobook science popular science sociology self help philosophy reference unfinished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19124459325920665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37488096673403787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121756703292859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20262318613106392,0.0,0.0,0.0,0.0,0.17439011426543294,0.0,0.0,0.0,0.0,0.23327263162124195,0.0,0.0,0.37488096673403787,0.0,0.0,0.0,0.0,0.36043202349879794,0.37488096673403787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3217974090833788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4094442439000789,0.0,0.0,0.0,0.0
3,3,0684868768,"emergence: the connected lives of ants, brains, cities, and software",4.0,stevenjohnson,"in the tradition of being digital and the tipping point, steven johnson, acclaimed as a ""cultural critic with a poet's heart"" (the village voice), takes readers on an eye-opening journey through emergence theory and its applications. explaining why the whole is sometimes smarter than the sum of its parts, johnson presents surprising examples of feedback, self-organization, and adaptive learning. how does a lively neighborhood evolve out of a disconnected group of shopkeepers, bartenders, and real estate developers? how does a media event take on a life of its own? how will new software programs create an intelligent world wide web?  in the coming years, the power of self-organization -- coupled with the connective technology of the internet -- will usher in a revolution every bit as significant as the introduction of electricity. provocative and engaging, emergence puts you on the front lines of this exciting upheaval in science and thought.",science nonfiction science technology philosophy psychology sociology science popular science business science biology design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19487152613262995,0.0,0.0,0.0,0.0,0.0,0.29948261060525877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5749606509386395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10395373202101159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17299611292569825,0.0,0.0,0.0,0.0,0.14889121268221492,0.0,0.0,0.0,0.0,0.19916407047473805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5128842049933977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2747449686482383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3172562764079531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,067976867X,consilience: the unity of knowledge,3.9,edwardo.wilson,"one of our greatest living scientists--and the winner of two pulitzer prizes for on human nature and the ants--gives us a work of visionary importance that may be the crowning achievement of his career. in consilience  (a word that originally meant ""jumping together""), edward o. wilson renews the enlightenment's search for a unified theory of knowledge in disciplines that range from physics to biology, the social sciences and the humanities.using the natural sciences as his model, wilson forges dramatic links between fields. he explores the chemistry of the mind and the genetic bases of culture. he postulates the biological principles underlying works of art from cave-drawings to lolita. presenting the latest findings in prose of wonderful clarity and oratorical eloquence, and synthesizing it into a dazzling whole, consilience is science in the path-clearing traditions of newton, einstein, and richard feynman.",science philosophy nonfiction science biology psychology science popular science history biology evolution environment nature environment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39524994127708263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6122113473111918,0.0,0.0,0.0,0.27144992139818436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17272067371404667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2946626980563773,0.0,0.0,0.1054225501597243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17544046796377133,0.0,0.0,0.0,0.0,0.1509949766321072,0.0,0.0,0.0,0.0,0.20197816664623502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4161048172170904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0393308197,the panda's thumb: more reflections in natural history,4.1,stephenjaygould,"with sales of well over one million copies in north america alone, the commercial success of gould's books now matches their critical acclaim. the panda's thumb will introduce a new generation of readers to this unique writer, who has taken the art of the scientific essay to new heights.were dinosaurs really dumber than lizards? why, after all, are roughly the same number of men and women born into the world? what led the famous dr. down to his theory of mongolism, and its racist residue? what do the panda's magical ""thumb"" and the sea turtle's perilous migration tell us about imperfections that prove the evolutionary rule? the wonders and mysteries of evolutionary biology are elegantly explored in these and other essays by the celebrated natural history writer stephen jay gould.",science nonfiction science biology biology evolution writing essays science natural history history environment nature science popular science animals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3523471052543935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3293582796484777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2550751500179693,0.0,0.3020860516565679,0.0,0.22619681822987367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2878532190055654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34077205455035275,0.2455398196767661,0.0,0.0,0.08784767847042153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1258227783119381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43342057910639425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2986862388149957
6,6,0465031269,why is sex fun? the evolution of human sexuality,3.7,jareddiamond,why are humans one of the few species to have sex in private? why are human females the only mammals to go through menopause? why is the human penis so unnecessarily large? there is no more knowledgeable authority than the award-winning author of the third chimpanzee to answer these intriguing questions. here is a delightfully entertaining and enlightening look at the unique sex lives of humans.,science nonfiction anthropology psychology biology evolution sexuality science biology history sociology science popular science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35266326583607727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3974258209325877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27294427294584145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173671513577059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10600290896100038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15182621495354937,0.0,0.0,0.0,0.0,0.20309007113442237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4183955044804837,0.0,0.0,0.5328627157770811,0.0,0.0,0.0,0.0,0.0,0.28016084976367644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0805070893,"why people believe weird things: pseudoscience, superstition, and other confusions of our time",3.9,michaelshermer,"revised and expanded edition.in this age of supposed scientific enlightenment, many people still believe in mind reading, past-life regression theory, new age hokum, and alien abduction. a no-holds-barred assault on popular superstitions and prejudices, with more than 80,000 copies in print, why people believe weird things debunks these nonsensical claims and explores the very human reasons people find otherworldly phenomena, conspiracy theories, and cults so appealing. in an entirely new chapter, ""why smart people believe in weird things,"" michael shermer takes on science luminaries like physicist frank tippler and others, who hide their spiritual beliefs behind the trappings of science.shermer, science historian and true crusader, also reveals the more dangerous side of such illogical thinking, including holocaust denial, the recovered-memory movement, the satanic ritual abuse scare, and other modern crazes. why people believe strange things is an eye-opening resource for the most gullible among us and those who want to protect them.",science nonfiction psychology philosophy philosophy skepticism religion sociology religion atheism history social science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33198685654866245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14865408774096062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09073316288277641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30198982156796295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1738348945772204,0.0,0.0,0.0,0.0,0.6102361556857288,0.0,0.0,0.17906276266161664,0.0,0.0,0.0,0.0,0.0,0.403478353594321,0.33657921604818763,0.0,0.23980360788341154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0224080369,cycles of time: an extraordinary new view of the universe,3.9,rogerpenrose,"la revolucionaria y exitosa obra de roger penrose el camino a la realidad presentaba una guía completa y comprensible de las leyes que rigen el universo desde nuestro conocimiento actual. en ciclos del tiempo, su libro más ambicioso, penrose va mucho más allá: desarrolla una visión inédita de la cosmología y propone una respuesta inesperada a la pregunta: ¿qué pasó antes del big bang? las dos ideas clave que hay detrás de esta nueva visión son un penetrante análisis de la segunda ley de la termodinámica (que establece el principio de la entropía) y el estudio de la geometría de cono de luz del espacio-tiempo. penrose logra combinar estos dos temas para demostrar que el destino último de nuestro universo en expansión y aceleración puede ser visto como el big bang de uno nuevo. por el camino, nos explica muchos otros ingredientes básicos de esta idea y comenta varios modelos cosmológicos, tanto ortodoxos como heterodoxos, así como el papel fundamental y ubicuo de la radiación cósmica de microondas. otra parte crucial de su exposición es la relativa a los inmensos agujeros negros detectados en los centros de las galaxias, y su eventual desaparición a través del misterioso proceso de evaporación de hawking. una obra fundamental para todos los amantes de la ciencia.",science science physics nonfiction philosophy science popular science science mathematics science astronomy audiobook space unfinished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29722160925599844,0.0,0.1754588080416833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29136747070088764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1117066143767779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1858981846978469,0.22081805096719634,0.0,0.0,0.0,0.15999553797473326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6613622078971543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30995425226724477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3756477386885689,0.0,0.0,0.0,0.0
9,9,1476777616,the greatest story ever told—so far: why are we here?,3.8,lawrencem.krauss,"internationally renowned, award-winning theoretical physicist, new york times bestselling author of a universe from nothing, and passionate advocate for reason, lawrence krauss tells the dramatic story of the discovery of the hidden world of reality—a grand poetic vision of nature—and how we find our place within it.in the beginning there was light. but more than this, there was gravity. after that, all hell broke loose… in a universe from nothing, krauss revealed how our entire universe could arise from nothing. now, he reveals what that something—reality—is. and, reality is not what we think or sense—it’s weird, wild, and counterintuitive; it’s hidden beneath everyday experience; and its inner workings seem even stranger than the idea that something can come from nothing. in a landmark, unprecedented work of scientific history, krauss leads us to the furthest reaches of space and time, to scales so small they are invisible to microscopes, to the birth and rebirth of light, and into the natural forces that govern our existence. his unique blend of rigorous research and engaging storytelling invites us into the lives and minds of the remarkable, creative scientists who have helped to unravel the unexpected fabric of reality—with reason rather than superstition and dogma. krauss has himself been an active participant in this effort, and he knows many of them well. the greatest story challenges us to re-envision ourselves and our place within the universe, as it appears that “god” does play dice with the universe. in the incisive style of his scintillating essays for the new yorker, krauss celebrates the greatest intellectual adventure ever undertaken—to understand why we are here in a universe where fact is stranger than fiction.",science nonfiction science physics history philosophy audiobook science popular science science astronomy space science nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3124368275939602,0.0,0.18444080662636006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192385144255574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32821042468932027,0.0,0.0,0.11742504289814851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19541459057388233,0.23212205698088847,0.0,0.0,0.0,0.1681859486567792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6952183276416798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32582127362827873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
