,UserID,ISBN,Rating
0,11051,1101984597,5.0
22,11051,1984819194,5.0
26,11051,1771642483,4.0
30,11051,1473637465,1.0
45,11051,076790818X,5.0
53,11051,1419729071,5.0
55,11051,1439170916,4.0
66,11051,1594205213,4.0
68,11051,1400069289,2.0
70,341,1851687793,4.0
71,341,1851687793,4.0
72,341,1851687793,4.0
73,341,1851687793,4.0
74,341,1851687793,4.0
75,341,1851687793,4.0
76,341,1851687793,4.0
146,534,902543522X,4.0
147,534,902543522X,4.0
148,534,902543522X,4.0
149,534,902543522X,4.0
150,534,902543522X,4.0
151,534,902543522X,4.0
152,534,902543522X,4.0
222,11448,014027541X,4.0
223,11448,014027541X,4.0
224,11448,014027541X,4.0
225,11448,014027541X,4.0
226,11448,014027541X,4.0
296,6484,159420229X,4.0
297,6484,159420229X,4.0
298,6484,159420229X,4.0
299,6484,159420229X,4.0
300,6484,159420229X,4.0
301,6484,159420229X,4.0
302,6484,159420229X,4.0
303,6484,159420229X,4.0
311,6484,1592406599,5.0
312,6484,1594200823,4.0
313,6484,1594200823,4.0
314,6484,1594200823,4.0
315,6484,1594200823,4.0
316,6484,1594200823,4.0
317,6484,1594200823,4.0
318,6484,1594200823,4.0
319,6484,1594200823,4.0
320,6484,1594200823,4.0
338,6484,145162445X,4.0
347,6484,073521610X,4.0
378,8261,902543522X,3.0
379,8261,902543522X,3.0
380,8261,902543522X,3.0
381,8261,902543522X,3.0
382,8261,902543522X,3.0
383,8261,902543522X,3.0
384,8261,902543522X,3.0
385,8261,902543522X,3.0
386,8261,902543522X,3.0
458,6072,067003830X,1.0
459,6072,067003830X,1.0
460,6072,067003830X,1.0
461,6072,067003830X,1.0
462,6072,067003830X,1.0
463,6072,067003830X,1.0
464,6072,067003830X,1.0
534,10522,158333467X,5.0
535,10522,158333467X,5.0
536,10522,158333467X,5.0
537,10522,158333467X,5.0
538,10522,158333467X,5.0
539,10522,158333467X,5.0
540,10522,158333467X,5.0
610,3465,061861916X,5.0
611,3465,061861916X,5.0
612,3465,061861916X,5.0
613,3465,061861916X,5.0
614,3465,061861916X,5.0
615,3465,061861916X,5.0
616,3465,061861916X,5.0
686,12240,038535066X,3.0
687,12240,038535066X,3.0
688,12240,038535066X,3.0
689,12240,038535066X,3.0
690,12240,038535066X,3.0
691,12240,038535066X,3.0
692,12240,038535066X,3.0
762,12075,125006953X,4.0
763,12075,125006953X,4.0
764,12075,125006953X,4.0
765,12075,125006953X,4.0
766,12075,125006953X,4.0
767,12075,125006953X,4.0
768,12075,125006953X,4.0
769,12075,125006953X,4.0
839,194,057123545X,4.0
840,194,057123545X,4.0
841,194,057123545X,4.0
842,194,057123545X,4.0
843,194,057123545X,4.0
844,194,057123545X,4.0
845,194,057123545X,4.0
915,6477,067976867X,4.0
916,6477,067976867X,4.0
917,6477,067976867X,4.0
918,6477,067976867X,4.0
919,6477,067976867X,4.0
920,6477,067976867X,4.0
990,9413,1592406599,4.0
991,9413,1592406599,4.0
992,9413,1592406599,4.0
993,9413,1592406599,4.0
994,9413,1592406599,4.0
995,9413,1592406599,4.0
1058,5152,158333467X,4.0
1059,5152,158333467X,4.0
1060,5152,158333467X,4.0
1061,5152,158333467X,4.0
1062,5152,158333467X,4.0
1063,5152,158333467X,4.0
1064,5152,158333467X,4.0
1136,10616,125006953X,5.0
1137,10616,125006953X,5.0
1138,10616,125006953X,5.0
1139,10616,125006953X,5.0
1140,10616,125006953X,5.0
1141,10616,125006953X,5.0
1214,10113,1594200823,5.0
1215,10113,1594200823,5.0
1216,10113,1594200823,5.0
1217,10113,1594200823,5.0
1218,10113,1594200823,5.0
1219,10113,1594200823,5.0
1220,10113,1594200823,5.0
1245,10113,1400033721,4.0
1246,10113,1400033721,4.0
1247,10113,1400033721,4.0
1248,10113,1400033721,4.0
1249,10113,1400033721,4.0
1250,10113,1400033721,4.0
1251,10113,1400033721,4.0
1252,10113,1400033721,4.0
1268,10113,1400077427,5.0
1271,10113,1627790365,5.0
1272,10113,1627790365,5.0
1273,10113,1627790365,5.0
1274,10113,1627790365,5.0
1275,10113,1627790365,5.0
1301,1208,1596914521,5.0
1302,1208,1596914521,5.0
1303,1208,1596914521,5.0
1304,1208,1596914521,5.0
1305,1208,1596914521,5.0
1372,3257,1592406599,3.0
1373,3257,1592406599,3.0
1374,3257,1592406599,3.0
1375,3257,1592406599,3.0
1376,3257,1592406599,3.0
1377,3257,1592406599,3.0
1378,3257,1592406599,3.0
1379,3257,1592406599,3.0
1451,5856,1594202435,3.0
1452,5856,1594202435,3.0
1453,5856,1594202435,3.0
1454,5856,1594202435,3.0
1455,5856,1594202435,3.0
1456,5856,1594202435,3.0
1457,5856,1594202435,3.0
1458,5856,1594202435,3.0
1459,5856,1594202435,3.0
1529,1597,067973337X,5.0
1530,1597,067973337X,5.0
1531,1597,067973337X,5.0
1532,1597,067973337X,5.0
1533,1597,067973337X,5.0
1534,1597,067973337X,5.0
1535,1597,067973337X,5.0
1605,8955,1101870532,5.0
1670,6854,1594200823,2.0
1671,6854,1594200823,2.0
1672,6854,1594200823,2.0
1673,6854,1594200823,2.0
1674,6854,1594200823,2.0
1675,6854,1594200823,2.0
1676,6854,1594200823,2.0
1677,6854,1594200823,2.0
1751,1416,1846144329,3.0
1752,1416,1846144329,3.0
1753,1416,1846144329,3.0
1754,1416,1846144329,3.0
1755,1416,1846144329,3.0
1756,1416,1846144329,3.0
1779,1416,1476777616,4.0
1780,1416,1476777616,4.0
1781,1416,1476777616,4.0
1782,1416,1476777616,4.0
1783,1416,1476777616,4.0
1784,1416,1476777616,4.0
1831,699,1400052173,3.0
1890,9114,125006953X,5.0
1891,9114,125006953X,5.0
1892,9114,125006953X,5.0
1893,9114,125006953X,5.0
1894,9114,125006953X,5.0
1895,9114,125006953X,5.0
1896,9114,125006953X,5.0
1897,9114,125006953X,5.0
1965,6778,038535066X,5.0
1977,6778,1910701882,4.0
1978,6778,1910701882,4.0
1979,6778,1910701882,4.0
1980,6778,1910701882,4.0
1981,6778,1910701882,4.0
1982,6778,1910701882,4.0
1983,6778,1910701882,4.0
1984,6778,1910701882,4.0
1988,6778,1476733503,5.0
2004,6778,073521610X,5.0
2006,6778,1439192812,4.0
2025,6778,1594485755,4.0
2026,6778,1594485755,4.0
2027,6778,1594485755,4.0
2028,6778,1594485755,4.0
2029,6778,1594485755,4.0
2030,6778,1594485755,4.0
2052,6930,1596914521,4.0
2053,6930,1596914521,4.0
2054,6930,1596914521,4.0
2055,6930,1596914521,4.0
2056,6930,1596914521,4.0
2057,6930,1596914521,4.0
2133,10614,039335038X,5.0
2134,10614,039335038X,5.0
2135,10614,039335038X,5.0
2136,10614,039335038X,5.0
2137,10614,039335038X,5.0
2138,10614,039335038X,5.0
2208,6718,1984819194,5.0
2209,6718,1984819194,5.0
2210,6718,1984819194,5.0
2211,6718,1984819194,5.0
2212,6718,1984819194,5.0
2213,6718,1984819194,5.0
2214,6718,1984819194,5.0
2215,6718,1984819194,5.0
2262,11021,1101984597,5.0
2263,11021,1101984597,5.0
2264,11021,1101984597,5.0
2265,11021,1101984597,5.0
2266,11021,1101984597,5.0
2267,11021,1101984597,5.0
2268,11021,1101984597,5.0
2360,3876,1400063515,4.0
2361,3876,1400063515,4.0
2362,3876,1400063515,4.0
2363,3876,1400063515,4.0
2364,3876,1400063515,4.0
2365,3876,1400063515,4.0
2411,3342,1101984597,4.0
2412,3342,1101984597,4.0
2413,3342,1101984597,4.0
2414,3342,1101984597,4.0
2415,3342,1101984597,4.0
2439,3342,1476733503,4.0
2440,3342,1476733503,4.0
2441,3342,1476733503,4.0
2442,3342,1476733503,4.0
2443,3342,1476733503,4.0
2444,3342,1476733503,4.0
2445,3342,1476733503,4.0
2477,3342,006145205X,2.0
2484,3342,1400067820,4.0
2487,3342,1594205213,3.0
2515,8709,038553082X,5.0
2516,8709,038553082X,5.0
2517,8709,038553082X,5.0
2518,8709,038553082X,5.0
2519,8709,038553082X,5.0
2520,8709,038553082X,5.0
2521,8709,038553082X,5.0
2573,4153,038535066X,5.0
2574,4153,125006953X,3.0
2582,4153,1101870532,3.0
2587,4153,1984819194,5.0
2588,4153,1984819194,5.0
2589,4153,1984819194,5.0
2590,4153,1984819194,5.0
2591,4153,1984819194,5.0
2592,4153,1984819194,5.0
2594,4153,1476733503,4.0
