,0
0,http://goodreads.com/book/show/3869.A_Brief_History_of_Time
1,http://goodreads.com/book/show/21.A_Short_History_of_Nearly_Everything
2,http://goodreads.com/book/show/61535.The_Selfish_Gene
3,http://goodreads.com/book/show/23692271-sapiens
4,http://goodreads.com/book/show/55030.Cosmos
5,http://goodreads.com/book/show/63697.The_Man_Who_Mistook_His_Wife_for_a_Hat_and_Other_Clinical_Tales
6,http://goodreads.com/book/show/21413662-what-if-serious-scientific-answers-to-absurd-hypothetical-questions
7,http://goodreads.com/book/show/1842.Guns_Germs_and_Steel
8,http://goodreads.com/book/show/8049273-the-elegant-universe
9,http://goodreads.com/book/show/3272165-bad-science
10,http://goodreads.com/book/show/11468377-thinking-fast-and-slow
11,http://goodreads.com/book/show/35167685-surely-you-re-joking-mr-feynman
12,http://goodreads.com/book/show/6117055-the-greatest-show-on-earth
13,http://goodreads.com/book/show/14743.The_God_Delusion
14,http://goodreads.com/book/show/8520362-the-grand-design
15,http://goodreads.com/book/show/17349.The_Demon_Haunted_World
16,http://goodreads.com/book/show/31138556-homo-deus
17,http://goodreads.com/book/show/64582.Chaos
18,http://goodreads.com/book/show/1202.Freakonomics
19,http://goodreads.com/book/show/32191710-astrophysics-for-people-in-a-hurry
20,http://goodreads.com/book/show/117047.The_Blind_Watchmaker
21,http://goodreads.com/book/show/6493208-the-immortal-life-of-henrietta-lacks
22,http://goodreads.com/book/show/22435.The_Fabric_of_the_Cosmos
23,http://goodreads.com/book/show/7170627-the-emperor-of-all-maladies
24,http://goodreads.com/book/show/1168341.Physics_of_the_Impossible
25,http://goodreads.com/book/show/38412.Fermat_s_Enigma
26,http://goodreads.com/book/show/24113.G_del_Escher_Bach
27,http://goodreads.com/book/show/32145.Stiff
28,http://goodreads.com/book/show/17994.The_Code_Book
29,http://goodreads.com/book/show/27276428-the-gene
30,http://goodreads.com/book/show/40102.Blink
31,http://goodreads.com/book/show/34466963-why-we-sleep
32,http://goodreads.com/book/show/17977.The_Ancestor_s_Tale
33,http://goodreads.com/book/show/22463.The_Origin_of_Species
34,http://goodreads.com/book/show/2612.The_Tipping_Point
35,http://goodreads.com/book/show/7247854-the-disappearing-spoon
36,http://goodreads.com/book/show/3228917-outliers
37,http://goodreads.com/book/show/4591.Genome
38,http://goodreads.com/book/show/2095.The_Universe_in_a_Nutshell
39,http://goodreads.com/book/show/5553.Six_Easy_Pieces
40,http://goodreads.com/book/show/5981308-bonk
41,http://goodreads.com/book/show/11337189-a-universe-from-nothing
42,http://goodreads.com/book/show/40277241-brief-answers-to-the-big-questions
43,http://goodreads.com/book/show/20663770-death-by-black-hole
44,http://goodreads.com/book/show/11256979-the-magic-of-reality
45,http://goodreads.com/book/show/27213168-i-contain-multitudes
46,http://goodreads.com/book/show/17910054-the-sixth-extinction
47,http://goodreads.com/book/show/1713426.Predictably_Irrational
48,http://goodreads.com/book/show/2094.A_Briefer_History_of_Time
49,http://goodreads.com/book/show/835623.How_the_Mind_Works
50,http://goodreads.com/author/show/19435939.Brian_Deer
