,isbn,user_link,ranking,review
0,All,http://goodreads.com/user/show/31378222-dr-godot,1,"The readers who will love this book are those who prefer their history presented as fictionalized adventure starring a hero who triumphs over a villain and becomes a Great Man. Such readers will not mind that a great deal of this “true tale” derives from Aptowicz’s imagination: the long description of Mütter’s imagined seasickness during his first ocean voyage, the imagined half-eaten Parisian meals right down to the imagined menu, the imagined smiles exchanged by doctor and patient following surgery to repair a cleft palate. (If I had just had my cleft palate repaired without being anesthetized, I don’t think I’d be smiling right after the operation—but this is Aptowicz’s imagination, not mine.)The readers who will not love this book are those who prefer their history based on thorough research and intelligent scholarship. Here’s why.Aptowicz admits that she found Mütter a difficult subject to research. What few primary sources exist —19th-century anecdotes, panegyrics upon Mütter’s death, one speech, a medical notebook—are not numerous or objective enough to compose anything like a complete picture of the man. Aptowicz’s next step should have been to look at scholarly secondary sources that could have helped her determine what might logically fill in the gaps in her narrative. An example of such a source is Sickness and Health in America: Readings in the History and Medicine and Public Health, published by the University of Wisconsin Press, a standard university text. This step would have helped the author understand the cultural and intellectual context in which Mütter lived and worked.But this was not her next step. She cites no academic article, no book published by a university press, nothing written by an authoritative historian. Her single scholarly resource was a Norton anthology of historical excerpts. This book is the only source listed for Aptowicz’s entire Chapter Eleven, but we never learn the authors or the titles of the excerpted works because the book is cited 23 times only by editor. Clearly, scholarly research is not Aptowicz’s forte. (Her website advertises her as a poet and performer.) With the exception of this anthology, Aptowicz’s sources are not scholarly. She relies heavily on a mysterious unpublished biographical sketch of Mütter by an associate professor of dentistry. She also cites a couple of coffee-table picture books, a 19th-century student’s romanticized recollections of Paris, and so on. (Sources are presented only in notes. There’s no bibliography.) As a result of not consulting modern scholarship, Aptowicz attributes to Mütter attitudes and opinions that are simply not credible given his time and education. For instance, she says that Mütter “did not believe there was any biological difference between the races past the superficial,” defining race as “all the different skin colors that humans can possess” (page 248 of the advance proof). Aptowicz’s assertion ignores that fact that medical practitioners of the mid-19th century did not define race as merely variation in skin color. Educated people of Mütter’s time defined race to encompass variations in intelligence, family and community structure, “moral character,” group behavior, religious and artistic tendencies, temperament, and many other factors that we now categorize as cultural rather than biological. A video released by Mütter’s own museum explains that the white medical establishment’s understanding of African American bodies began only during the Civil War (years after Mütter’s death), when army surgeons learned to treat the diseases and wounds of black soldiers (http://muttermuseum.org/videos/broken...).Mütter’s best memorial is still his museum, not this book. Visit the museum or its website (http://muttermuseum.org/)."
1,All,http://goodreads.com/user/show/17568354-k-elizabeth,4,"***4 FULL stars***What a magnificent biography! This should be required reading material for anyone intersted in pursuing a career in medicine, or just intersted in history - because it's truly immersing and eye-opening.Though the novel is called ""Dr. Mutters Marvels"", it's not only about him - but also about the many other doctors whom he'd worked with and had been inspired by throughout his life. Mainly, however, it was about his story and his rise in fame (obviously), and how medicine and surgery progressed (and how many of those progresses were because of him!). But it's such a shame Dr. Mutter passed away so young - to think of how much more he could have accomplished had he not been sick!Overall, this should be a novel read by everyone - especially those who love medicine, history, or work in Healthcare. It exhibits how much medicine has advanced in America - and you'll especially be shocked with how surgeries were handled 150 years ago! It's almost disturbing to read in detail - yet, truly fascinating!"
2,All,http://goodreads.com/user/show/12061794-m-r-graham,5,"I have never before found it difficult to put down a biography. Aptowicz's work is sensitive, informative, and enchanting - a work of elegant prose and loving research. A beautiful book about a beautiful man who, thanks to Aptowicz, is now further protected from obscurity."
3,All,http://goodreads.com/user/show/3829694-mlpmom-book-reviewer,4,"I can honestly say I have never read a book quite like this one before. Fiction and fact, blended together so seamlessly that it is sometimes hard to tell them apart. To know when something was fictionalized from dramatic sake or because it really happened.Either way, this book was quite interesting. No, quite fascinating and dare I say, even fun?Once again I find myself in unfamiliar territory with this read. Something I never would have picked up on my own but truly enjoyed. I confess that I knew nothing about Dr. Thomas Mutter but am now quite curious about his life work and all the medical advances he made throughout his career. In fact, I would love to visit Philadelphia and see the museum that was erected in his honor and all the oddities that live there. The author did a fabulous job blended the fact with the fiction and making this read not only somewhat mesmerizing, but entertaining as well. I truly had fun learning about this remarkable professor and doctor and all that he had to offer the world, some of which, is still practiced today.If you are looking for a different kind of historical read, then this is the read for you. *A review copy of this was provided by the publisher in exchange for an honest review.*"
4,All,http://goodreads.com/user/show/4159922-diane-s,4,"3.5 His parents cherished him as a young boy but he would lose his whole family to illness. Despite this, he would become a fantastic surgeon and although dying early, he would leave a lasting legacy.Wonderfully told, entertainingly written, the is a story of a man ahead of his time. He believed in cleanliness of supplies, room and person, at a time when doctors would routine pass germs from one person to the next. He would discover the use of ether as a pain reliever, at. Time when surgery was performed giving the patient only wine. In fact hospitals kept use supplies of wine for just this person. He became entranced with medical oddities, wanted to fix these for people and help them have better lives. But it was the empathy he ha for his patients that impressed me the most.A look at the medical schools and doctor's training in the 1800's. Once again so glad I live now and not then, though I think a few doctors could still learn empathy from Dr. Mutter. "
5,All,http://goodreads.com/user/show/4482441-shappy-seasholtz,5,"If you have ever been to the Mutter Museum in Philadelphia, which houses one of the largest collections of medical oddities in America, it is more likely you will walk out of the museum with your head full of questions such as ""Why did that woman turn into soap?"" and ""How did that guy walk around with a 300 pound colon?"" However, you might not ask yourself, ""Who collected all of this weird, freaky stuff and why?"" and that's what Cristin O'Keefe Aptowicz's new book seeks to answer.Who was Thomas Dent Mutter?Turns out he was one of the most innovative characters in early medical history who revolutionized the practice of plastic surgery, the use of ether and clean instruments during surgery and pretty much the concept of outpatient care!The author does a great job taking us back to the pre-Civil War era of medicine in Philadelphia and to the founding of the Jefferson Medical College where Mutter lectured and performed his surgeries. It's amazing how crude and primitive seems compared to the state of the medical advances we have today.I don't want to spoil too much of the book here, but I found it to be a very engaging read. If you like David McCullough or Erik Larson's books, you are going to enjoy the fascinating story of Mutter!Also, there are lots of pictures scattered throughout the book and most chapters start with words of wisdom from Mutter himself! A very well-designed book!"
6,All,http://goodreads.com/user/show/1376766-becky,5,"A few years back, the hubs (then boyfriend) and I visited the Mutter Museum in Philadelphia, because I'm kind of morbid and curious like that, and it was something to do. For such a small museum, it was packed with interesting bones and tools and casts and molds, as well as the stories behind them. It was fascinating, as well as somewhat sad, to think that these were artifacts from real people who existed... and were considered ""monsters"" because of a fluke of biology, or an accident, or simply a side-effect of being poor and so desperate for work that you'll work in literally toxic factories. I bought this cute tote bag: At the time, I didn't realize that the Mutter Museum was literally the life's work and collection of a man. I suppose, had I thought about it at all, the most museums are created and endowed by individuals... but I didn't think about it until I read this book and had my ""Ohhhhhh!"" moment. I think that I probably would have picked up this book regardless of my previously having been to the Mutter Museum (morbid and curious, remember?) because who could pass up this cover, and this title? It's creepy and intriguing. And I'm glad that I did not pass it up, because the story told here was truly fascinating and awesome. Within this book, we are granted a glimpse into the life of a man that would help shape the course of modern medicine, a man who seemingly invented ""bedside manner"" - at least in the US - and one who took pride in putting the care and comfort and decision-making power in the hands of his patients, rather than assuming that their knowledge and comfort was unnecessary. This biography not only tells about Dr. Mutter himself, but also the environment that he existed within - Philadelphia in the mid-19th century was a crazy place, full of people, illnesses, accidents, and ignorance. Science had not yet discovered microbes, so we're talking about the kind of ignorance that thinks that illness is caused by ""breathing bad air"" or ""too much blood"". Medicine was often brutal, and often was riskier than just dealing with the illness itself. When you're sick with cholera from drinking from dirty river water, and shitting your guts out, the last thing that you want is some ""doctor"" bleeding you dry to try to draw out the illness via your blood. Seems counter-intuitive to me... but I live in a modern era, thankfully, which has benefited from a century's worth of science since then. But this is the kind of environment that Mutter was working in, and his ideas regarding the spread of illness via dirty tools and hands was... unwelcome. Many were insulted by the mere thought. These were DOCTORS. They don't SPREAD disease, they CURE it. (Or the patient dies trying. Six of one, half a dozen of the other.)But thankfully, in the end he was vindicated, as it was proven that failing to clean up after one's self and tools after touching or performing surgery on someone with an illness DOES actually contribute to the spread of said illness in subsequent people treated. Cray cray, I know. He was also an early adopter of using ether anesthesia while performing surgeries, though this too was unpopular at the time. Some thought that pain was necessary for healing, and others thought that pain was ""God ordained"" and shouldn't be meddled with. (Though how they reckoned this with the fact that they were going against the ""God ordained"" illness or injury or malady or whatever and trying to heal it... I don't know.) This ""God wills it"" pain argument was popular with Charles Meigs, obstetrician, who was a colleague of Dr. Mutter, and one that he bumped ideological heads with often. He (Meigs) was delightful... If you enjoy condescension and cruelty with your malpractice and closed-minded ""I am a MAN, so of course I know what's best for WOMEN"" misogyny. Yup. The guy who was supposed to help women with their pregnancies, deliveries, and general lady part health... was a raging boastful misogynist, who thought that eternal childbearing pain as punishment for original sin was totally valid as an argument against anesthesia for women. Bet he was just a HOOT at parties. Anywho... This book covers a lot of ground, considering that Mutter's life was actually pretty short. He died at 47, but managed to accomplish so much during that time, and help so many people, that the end of the book, where his students and colleagues and friends were memorializing him, it brought a tear to my eye. This was a man who wanted to help people who were hopeless and optionless, and he did just that. He was smart, daring, willing to try new techniques and treatments... but most importantly, he was honest and empathetic with his patients. He didn't treat them as though they were lesser beings just because they were ill or disfigured or disabled. He treated everyone with dignity and respect. And if that is not the kind of message that I think we all need right now, I don't know what is."
7,All,http://goodreads.com/user/show/3528864-darryl,5,"I was somewhat familiar with Dr. Thomas Mütter, the famed 19th century Professor of Surgery at Jefferson Medical College in Philadelphia, whose personal collection and funding led to the creation of The Mütter Museum of The College of Physicians of Philadelphia, which is my favorite museum of medical history. However, after reading Cristin O'Keefe Aptowicz's fascinating and compulsively readable biography of Mütter I realized how little I knew about him, and how influential he was to the development of modern surgery, the advancement of medicine as a science, and the reformation of medical education in Philadelphia and the United States.Thomas Dent Mutter (1811-1859) was born to a mother from an established Virginia family and a father who was a hard working first generation Scottish immigrant. Although the Mutters were happy and modestly successful at the time of Thom's birth the family of four was quickly struck down by illness, and by 1818 he was an orphan with no surviving close relatives. Fortune did shine on young Thomas, as he was soon adopted by Robert Wormelely Carter, a wealthy Virginia landowner who was a distant cousin of his mother. Carter supported Thomas's educational endeavors, and after he realized that medicine was his calling he graduated from the medical school at the University of Pennsylvania at the age of 20.After graduation Mutter (who changed his name to Mütter, in keeping with his flamboyant lifestyle and dress) sailed to Paris, where he learned the latest surgical techniques under the leading practitioners there, including the legendary Guillaume Dupuytren. He returned to Philadelphia, but he was unable to establish a successful practice as a general surgeon despite his clinical skill and growing reputation in the city's medical community. Mütter began teaching at the Medical Institute in Philadelphia, and soon afterward he joined the faculty at the Jefferson Medical College, Philadelphia's second medical college after the University of Pennsylvania School of Medicine. There he quickly became a revered instructor who was noted for his active engagement of his students during his lectures, along with his skill in the operating theater and the compassion he showed to his patients before and especially during surgery, at a time when anesthesia was limited to wine and other spirits.Mütter was closely linked to several advancements and innovations in 19th century surgery and medicine, including the use of a patient's own skin to form surgical grafts; the utilization of ether as an effective anesthetic agent during surgery; the adoption of antiseptic techniques to reduce the likelihood of postoperative infections and puerperal (childbed) fever; and the creation of postoperative hospital wards, where patients would be closely and compassionately cared for under his watchful eye.Sadly, Mütter suffered from ill health throughout his life, which curtailed his brilliant career as a surgeon and teacher. Fortunately he ensured his legacy with the creation of the Mütter Museum, which opened in 1863 and moved to its current location on 22nd Street between Market and Chestnut Streets in Center City Philadelphia in 1909. The museum is open to the general public seven days per week.Aptowicz does a superb job in her portrayal of Mütter, as her interest in and enthusiasm for the surgeon shines on every page. The book is written for a general audience, and it is filled with rich detail about the history of early and mid 19th century medicine, medical education and surgery. Dr. Mütter's Marvels is a captivating study of one of the most interesting and influential physicians in American history, and I cannot recommend this book highly enough."
8,All,http://goodreads.com/user/show/6984286-rachel,5,"Most excellent book!Written in a way that draws in the reader, as with a beloved mystery, this non-fiction book compels the reader forward with brilliant use of language and creates an accessibility for the laymen that isn't in any way ""dumbed-down"".While having been fascinated by the Mutter Museum and its treasures, I had no idea how many contributions Thomas Mutter made to modern medicine, including the most basic hygiene in an era where germs had yet to be discovered and contagions were considered superstition; pre- and post-operative patient care (including recovery rooms!); and an empathetic approach to dealing with patients as humans with lives rather than simply cases to be logged.A brilliant, fascinating read, I highly recommend it."
9,All,http://goodreads.com/user/show/8024272-kasia,4,This should be a mandatory reading for anyone in medical profession. Wonderful story of a man whose determination and talent created and transformed field of surgery and medicine. Now I want to go to Philadelphia to see his museum. 
