,isbn,user_link,ranking,review
0,Pulitzer,http://goodreads.com/user/show/1045774-mehrsa,4,"You have to make it past the 2/3rd of the book that’s about bird and duck sex to get to the part about why men have dangly penises. Not that the bird sex isn’t fascinating, but obviously I’m much more curious about human sex. This book was so interesting. Aesthetic beauty as an evolutionary force. I totally buy it. I read the Red Queen and some of the adaptation arguments for gaudy bird wings seemed crazy (like it was a signaling that the bird was so healthy that he could spare the extra plumage). This book is much more convincing. The plumage is there not because it’s a signal of health, but because the females like it. Read this book. Especially the penis parts "
1,Pulitzer,http://goodreads.com/user/show/32647049-jennifer-insert-lit-pun,0,"This is SUCH a great book. It made me do that annoying nonfiction reader thing where I was constantly telling my beleaguered family members all the cool facts I was learning. I'll be including more thoughts on it in a video, probably near the start of the year."
2,Pulitzer,http://goodreads.com/user/show/25371127-rossdavidh,3,"I am a little conflicted about this book.Popular science books may be usefully divided into those with One Big Idea, and those with Many Small Ideas. Both are useful, but I typically judge them differently. If it's a ""Many Small Ideas"" book (e.g. a collection of essays), I am likely to judge it primarily on the writing style, as that is what is in common across the entire book (typically). Whereas, if it is a One Big Idea book, I am likely to judge it on the quality of that idea. Prum's writing style is, incidentally, very good.This book's One Big Idea is, by the author's own admission, not one that originated with him. That's ok, though, because it is true to say that it has been a controversial, often neglected, and sometimes nearly suppressed idea. It is, I think, both important and contains a great deal of truth. So, you would think I would like this book, and by and large that is the case, I do like it.However, I did get the impression at times, that Richard Prum was a little afraid to face the full implications of the idea he was writing about.The idea in question, as far as I know first publicly raised in a serious way by Charles Darwin, is that of sexual selection as a driver for evolution. That is, the idea that evolution is not only driven by survival of the fittest, but also by survival of the most attractive. This may not seem so revolutionary, but in many ways it is just as explosive as the idea that markets price things not only owing to their relative merit, but that prices are also driven by irrational exuberance and fiscal bubbles.Thus, for example, when looking at the extravagant plumage of the peacock, there are broadly speaking two theories:1) the peacock that is otherwise fittest, can afford to produce the most extravagant tail feathers, so really the female is selecting for good genes for acquiring food and avoiding predators, and fancy tail feathers is just how she measures that.2) the peahen just likes the peacock with the flashy feathers because she does, no real reason, but if she instead were to be the one peahen to pick the drab fellow who was a good father, her sons would never be able to reproduce, and thus peahens who go for impressive tail feathers get selected for because...well, no reason really. ""Beauty"". Not everything is about survival of the fittest. If you go for plain when the rest of your species does not, you will not have many grandkids.Prum does a pretty efficient job of demolishing hypothesis (1), which I think it is fair to say is the more broadly supported theory. He asks, if peacocks just have big tail to show off that they can survive even with such a handicap, why don't they gnaw one leg off? That would be an even more impressive display of handicapping, if you manage to continue to survive, but we don't see that in nature, and if we did peahens would not respond favorably to it. There are all kinds of things that could be handicaps, and therefore evidence of how great you are to survive with such a handicap: pulling your plumage out, injuring yourself, etc. etc. But, we don't see just any kind of handicaps working, it has to be the specific kind of handicap that females in that species like (in the case of peafowl, showy tail feathers).The problem with this is that, as with classical economics wanting to make everything about people optimizing for money, some evolutionary scientists want everything to be about natural selection (by survival of the fittest). Once you introduce a truly independent, second driver, you go from a linear system to a non-linear one, and you can get crazy results. Just as you can get economies stuck in sub-optimal states, or cycling through debt-fueled booms and busts, you could get species stuck in sub-optimal states, or cycling through long-term cycles of fashion in appearance and even courtship behavior, that don't particularly have anything to do with fitness.After having established that Darwin's more complex ideas on evolution (not shared by Wallace, by the way) were correct, though, Prum shies away from the harsher possibilities. For example, when we look at the impact of people buying homes, not to live in, but as something to sell again later, it is clear that it can drive your economy into some bad places. There is no particular reason (that Prum explains, anyway) why sexual selection could not have the same issues for a species.But, and here is my main issue with this book, Prum has conflated in his mind the idea that females of many species exercise choice, and the idea that human females should have choices in mate choice. He never says it so plainly, but you can get a clear sense in his writing that he just likes sexual selection better than conventionally understood natural selection, because it's about female choice and not about predation. I got the strong impression that he would have a visceral negative response to the idea that this could ever result in anything bad happening to the species, or that anything good could result for those species where females do not have as much choice.It seems a fairly good example of the problem with having academia that is so overwhelmingly from one part of the political spectrum. Just as Victorian biologists (aside from Darwin) choked on the idea that sex and female mate choice could be an important driver of evolution, so Prum appears to be choking on the idea that those species where female mate choice is the main driver of evolution, could ever have anything bad result from that.It doesn't have to be this way, not least because the way that human females choose their mates is not much like peahens; they often take into account aspects of the fellow's brain, such as personality and responsibility and whether he can hold down a good job. They don't all go for the fellow with the nice tail feathers (though of course some do). So, if mate choice as a driver of evolution is problematic for species fitness in, say, the Guianan Cock-of-the-Rock (a real bird species name, btw), that does not mean that female freedom of choice is not to be desired in humans. Because, while there are a lot of interesting parallels between birds and humans, there are also some nontrivial differences.More fundamentally, whether or not an idea is comforting or reassuring is not a proper factor in influencing whether we explore the possibility that it is true. Prum has obviously done a lot of good work in demonstrating that evolution, and mate choice, is not just about fitness, traditionally defined. The book is well written, with many beautiful pictures and drawings, and more than a few fascinating discussions of different species courtship and mating habits (the chapter on ducks was equally amusing and disturbing, for example). It gave me a lot to think about, and for that reason alone it is worth reading. Even if I have the sneaking suspicion that Richard Prum's opponents are not the only ones that are uncomfortable with the possible consequences of his ideas."
3,Pulitzer,http://goodreads.com/user/show/1728330-carl-zimmer,5,"Over the years, I've interviewed Prum several times for various articles about birds--from the way some birds can sing with their wing feathers to the baroque sexual anatomy of ducks. In those interviews, the conversation would sometimes take us into short digressions about his big ideas about beauty. Finally, when Prum published this book, I could take them in as one long--and fascinating--argument. Here's the blurb I gave it:""Life isn't just a dreary slog of survival. It brims with exuberance--from extravagant plumage to strange courtship rituals. In The Evolution of Beauty, Richard Prum takes into this universe of delights to discover a fascinating idea: that beauty is central to the history of life."""
4,Pulitzer,http://goodreads.com/user/show/110433-socraticgadfly,4,"Great until the last two chapters, then some slippageThis book is worth five stars for two starter reasons alone.One is the sheer depth and breadth of Prum's speculative intelligence, especially in getting back to what he rightly postulates was Darwin's original stance on sexual selection.The second is the number of swift kicks he rightly gives Ev Psychers.Beyond that, I think he's largely, and refreshingly, right on Darwin's take, and on how it plays out today with much more field studies not only in birds, which Darwin surely would have loved, but in other primates and ultimately in Homo sapiens.That said, even iat five stars, I can quibble.The last two chapters are speculative and the last is also somewhat politicized even beyond the intellectual judo on Ev Psychers.First, the chapter on same-sex relationships in humans, ironically, given the rest of Prum's book, comes close to making adaptationist claims, though Prum would deny it.Second, Prum ignores the broadness of same-sex relationships in other mammals and in birds, and acts almost as if it's de novo in humans, and of course he knows it's not.Third, he doesn't ask if ""gay"" relationships, whether in humans, or other animals, are more common than ""lesbian"" ones. (It seems to be the case in humans.)Nor does he ask if mammals', and especially humans', stumpy Y chromosome, along with womb environmental factors, doesn't contributed to gay sexuality being nonadaptive from a natural selection POV, but not so nonadaptive as to eliminate itself. (Given the reversed sex chromosomes in birds, lesbian sex studies there, especially of birds with the most decayed Y's, would be interesting indeed.)The last chapter? I agree to a fair degree with critiques — whether about patriarchy or private property — on the rise of agriculture, etc. But, the coevolution of cultural evolution and natural selection itself is speculative enough; cultural evolution and sexual selection even more so. Plus, the pre-agricultural world wasn't all that.All of this together? Sorry, but you lost a star."
5,Pulitzer,http://goodreads.com/user/show/82365956-veronica,5,"An excellent book seeking to revive Darwin’s hypothesis in 
Descent of Man
 that female sexual autonomy is an evolutionary force, occupying a separate sphere from that of adaptive mate choice. Darwin originally posited two aspects to his theory of sexual selection: first, that aggression evolved to increase the survival of contenders in male-to-male competition for mates, and secondly—perhaps more saliently—the female preference for beauty (“the taste for the beautiful”) drives aesthetic evolution in males. His theory was vehemently denounced by his contemporaries, in part because it was deeply at odds with the Victorian cultural milieu. One critic Mivart argued that animals lacked the cognitive capacity, free will, and sensory powers to make sexual decisions based on ornamentation. Underlying this was the implicit belief female choice could not drive such order and structure as the peacock’s tail, that female preference was far too fickle to have a concerted effect. Such detractors also felt that the mate choice theory of sexual selection was a dilution of Darwin’s comprehensive theory of evolution; thus, a stain on his legacy. He remained persuaded of his theory of sexual selection up until his death.In contradiction to the Wallacean adaptationist view of evolution—which holds the sexual ornaments evolved only as authentic indices of quality—the authentically Darwinian view accepts the contingent character of beauty. Beauty is not sought for its adaptive, utilitarian value, but as a value in and of itself.Many popular ideas are contested in this book. Despite widespread opinion to the contrary, females seem to not be attracted to extremely masculine traits. Instead, it is hypothesized that such hyper-masculine features arose due to male-to-male competition. Through female mate choice, men have actually evolved to social cooperation and reduced aggressiveness. Finally, the last chapter makes an intriguing connection between eugenics and the obsession with adaptive improvement, since eugenic social programs were explicitly anti-aesthetic. Aesthetic choice and adaptive mate choice are often opposed. Sexual autonomy drives the production of the beautiful, motivating aesthetic evolution via sexual selection."
6,Pulitzer,http://goodreads.com/user/show/31289003-alexander,5,"It's often forgotten that Darwin was not, strictly speaking, the bloke who discovered evolution. What he did discover was arguably far more important: the mechanism through which evolution takes place - natural selection. It's natural selection which answers the 'how' of evolution, the means by which life 'descends with modification'. Or at least, that's the standard story generally told about Darwin's place in the evolutionary pantheon. What's even further forgotten in this already simplified tale is that Darwin didn't postulate just one, but in fact two mechanisms of evolution, the second being the selective pressure of mate choice, or rather, sexual selection. Not just survival, but the distinct ability to find and impress a mate stand guard at the doorway of evolutionary success. Natural selection and sexual selection, the twin pillars of evolutionary biology, the dual principles underlying the evolution of all life on Earth. Right? Well, depends on who you ask. Even from the get-go, the independent footing of sexual selection was never easily admitted, with Darwin's famous contemporary, Alfred Russel Wallace, dismissing sexual selection as a mere offshoot of the more primary mechanism of natural selection. Not only was the idea of animals making aesthetic choices - choices on the basis of beauty alone - deemed absurd, but granting that such choices had the power of shaping the biosphere was simply beyond the pale (especially given that, for the most part, these choices were made by - shock horror - females!). Such was the ferocity of these critiques that ever since, sexual selection has long lived in the half-light of natural selection, with mate choice largely understood to be, at best, a matter of selecting for the 'fittest' partner (with beauty being nothing other than a cipher or sign-post for fitness).Against such widely held 'sign-post' theories of sexual selection however, stands Richard Prum's The Evolution of Beauty, which aims to do nothing less than reinstate the rank of sexual selection to its original place as a fully-fledged mechanism of evolution in its own right. More than just an academic reminder to 'get Darwin right' though, Prum, a Yale ornithologist, marshals evidence from all across the avian world - from the nests of Bowerbirds to the sexual anatomy of Ducks, the tail feathers of the Great Argus to the 'dances' of Manakin birds - to establish once and for all the irreducible role of beauty as a driver of evolution. So much so in fact, that, contrary to 'adaptationist' approaches in which evolution can only ever be steered by increasing chances of survival, sexual selection can and in fact has, worked against natural selection, making animals less fit, or rather less-than-optimal when it comes to survival.Such are the stakes involved here, which, more than just being another pleasing tale of the evolution of 'this' or 'that', aim to rebound upon our very understanding of what evolution really is, and how, exactly, it really works. While I've skipped over a great deal of the book's nitty gritty, trust me when I say that Prum is a storyteller of almost magical ability, weaving personal anecdote with the scientific cutting-edge, a love of birds with a love of science, all of which make for a read as gorgeously written as it is intellectually mind-opening. While some have quibbled with Prum's disciplinary polemics and (liberal) politics, both pinned fairly prominently throughout the book, in truth, I have nothing but admiration for Prum's resolute affirmation of - wait for it - the feminist implications of his research (in nuce: sexual selection means that female choice matters: female autonomy literally shapes life), along with the 'post-human aesthetic philosophy' upon which he calls to be incipit in its wake. A marvellous, paradigm altering book."
7,Pulitzer,http://goodreads.com/user/show/59054793-tom,2,"this book is a mess. there seems to today exist an opinion among publishers that the general public are not interested in 'popular science' books without some kind of edge. every theory discussed must be groundbreaking, or controversial, or newly rediscovered (with a third of the book being about the scandalous tale of why it was ignored for so long in the first place!). when authors yield and try better fit these desirable narratives the content always suffers. the evolution of beauty reads at certain points as though it has undergone a hack and slash rewrite, perhaps starting life as a manuscript about aesthetic innovation in birds that made few bold claims. despite some interesting content and decent writing (prum's lifelong obsession with and passion for birds shines through) this book is ultimately is an unfortunate casualty of publisher demands for sexier science. even the title is misleading in two regards; this is not really a book totally about the evolution of beauty, and sexual selection has certainly not been ""forgotten"" in the scientific community.the science suffers. examining sexual selection and mate choice as processes distinct from natural selection doesn't make sense for any reason other than to further some of his arguments. the chapter about human sexuality grabs attention but is genuinely ridiculous in places. his proposed explanation for the evolution of the female orgasm could not possibly be selected for!bad science aside, prum is also guilty of what i can only term ""social-justice washing"". he makes the bizarre claim that his theory of aesthetic evolution disproves eugenics(?) and that it supports feminism as a sort of natural cultural tool. such appeals to nature are downright dangerous and extremely irresponsible for a man of his position to make. progressive social movements can just as easily be attacked by opponents with references to biology. it is a cynical move by an author who desires to seem socially aware which inadvertently shows his disregard.the chapter about forced copulation in waterfowl and the three chapters about manikins were genuinely extremely good tho. two stars."
8,Pulitzer,http://goodreads.com/user/show/216786-ken-ichi,4,"This book's title *and* subtitle are not enticing enough. It should simply be called ""Sextastic Sexiness Sexplains Everything (Not Just Sex)."" Not only would it sum up the main point of the book, but it also explains why it's as much a page-turner as it is a head-scratcher, and not (just) a confounding recap of whenever you first learned about evolution by natural selection.Speaking of recap, a quick recap: most of the features we see in living things today we try to explain via natural selection, e.g. if a bunch of animals have big noses, it's probably because big noses allowed the ancestors of that bunch of animals to have more kids than their peers who had smaller noses. Maybe big noses let them find food more efficiently, and the small noses starved to death before they could have many kids. This was the key insight of a dude named Charles Darwin. It revolutionized all of biology, and today we generally call this kind of thinking Darwinism.BUT, Darwin had another great idea to explain why organisms change over the generations and why we see so much diversity today. If animals have sex, and can choose who they have sex with, their own preferences could drive change. Maybe big noses don't help with finding food at all, but ladies love them, so guys with big noses have more sex with more partners and have more kids, while the poor small noses get bred out of existence.It sounds kind of simple, but one of Prum's main arguments in this book is that it is anything but simple, and anything but accepted in evolutionary biology, and he goes so far as to suggest that it has affected everything from feminism to human penis size to art. I'm guessing at least one of those things is of interest to almost every human, and thus I suggest that you will probably find this book as interesting as I did.I, of course, had some problems, because problems are just the kinds of things I have.1) Way too obsessed with Darwin. Chuck was a great guy, don't get me wrong, but Prum's repeated insistence that we be ""authentically Darwinian"" began to sound like idolization after a while. Just because Darwin thought something was true doesn't prove it true. Experimentation proves things are true. Usually. I understand the desire to reclaim the meaning of the word ""Darwinian,"" but I think it was a bit overplayed2) Not everyone has sex. This book convinced me of the importance of mate choice... in organisms that mate and can perceive and choose mates, which kind of ignores all plants, fungi, bacteria, asexual animals, etc., so is mate choice really that fundamental a part of evolution? Adaptation doesn't explain everything, as Prum argues again and again here, and I was actually on board with that before even starting (since reading Gould and Lewontin's Spandrels of San Marco in college), but I also agree with Daniel Dennett that adaption is probably the strongest and most common evolutionary force, and it's hard to overlook the fact that mate choice doesn't seem possible for the vast majority of the Tree of Life. That said, plants and fungi *do* mate, and even some bacteria and archaea engage in lateral gene transfer. If Prum could have shown that some of these organisms have preferences and that those preferences seem arbitrary that would have been amazing.3) Why is mate choice a better null model than adaptation? Totally agree that a null model should be falsifiable, but wouldn't the best null model always be that nothing special is happening and a trait arose by chance, e.g. there used to be folks with small noses but it just so happened almost all of them got killed in an avalanche?4) Human stuff: this is where Prum gets super speculative. It's fascinating and a great call to action for future research, but I feel like evolutionary theories about anything human are always hampered by the fact that we only have one species of human to look at and the fossil record can only tell us so much. It's not like manakins and bowerbirds where we have dozens to compare and make trees with. Even if you expand your thinking to the great apes as Prum does, you only get four more data points. This kind of makes arguments like the one about testicle size decreasing in the human lineage because of decreased need for sperm competition ring a bit hollow. I mean, maybe? Comparing testicle size and mating behavior among the other great apes is interesting but... there are so few of them. If there were 50 great apes, it would be a stronger argument.5) Liberal bias. I suspect I'm about as politically liberal as Prum is, but a lot of the stuff about feminism, art, and homosexuality had my too-good-to-be-true alarms going off. The chapter about duck sex was dark, super dark, like rape as a species-defining act dark, and I feel like Prum eschewed some of the maladaptive potential of toxic masculinity in humans in an effort to look on the bright side in the absence of the kind of great data he and his colleagues collected about ducks. But who knows, maybe future research will support him. I hope it does.P.S. Did I mention there are a lot of awesome facts about birds in here? I didn't? There are. If you like facts and you like birds, you will like this book. If you like ducks and want to continue liking ducks, though, maybe give it a pass."
9,Pulitzer,http://goodreads.com/user/show/50894754-scott-hitchcock,3,Interesting. Very clinical. If you're a fan of Darwinian theory this is for you. If you're not you'll hate it. 
