,ISBN,UserID,Rating
20,802714625,7241,5.0
21,802714625,835,4.0
23,802714625,1502,4.0
26,802714625,3855,4.0
28,802714625,8156,5.0
38,802714625,684,3.0
39,802714625,6948,4.0
57,802714625,6332,1.0
20,1400063515,6473,1.0
21,1400063515,5939,4.0
23,1400063515,9974,2.0
26,1400063515,2580,2.0
28,1400063515,10256,4.0
38,1400063515,10216,3.0
39,1400063515,12585,5.0
57,1400063515,9174,4.0
60,1400063515,588,4.0
62,1400063515,8546,5.0
63,1400063515,2263,4.0
65,1400063515,8227,1.0
72,1400063515,7354,5.0
73,1400063515,1788,2.0
78,1400063515,1853,4.0
79,1400063515,1900,4.0
82,1400063515,5799,1.0
87,1400063515,8064,3.0
20,393348741,830,3.0
21,393348741,4853,4.0
23,393348741,7134,3.0
26,393348741,11623,3.0
28,393348741,1668,4.0
38,393348741,1973,5.0
39,393348741,4014,3.0
57,393348741,3994,4.0
20,306817586,1993,4.0
21,306817586,6283,4.0
23,306817586,10511,4.0
26,306817586,8298,5.0
28,306817586,13438,4.0
38,306817586,6132,5.0
39,306817586,2273,4.0
57,306817586,5377,4.0
60,306817586,10979,4.0
62,306817586,2041,2.0
63,306817586,4470,4.0
65,306817586,10651,5.0
72,306817586,7226,4.0
73,306817586,144,4.0
78,306817586,5704,4.0
79,306817586,9322,3.0
82,306817586,11739,5.0
87,306817586,12093,2.0
90,306817586,10973,5.0
97,306817586,1223,5.0
98,306817586,8971,4.0
104,306817586,11588,5.0
110,306817586,8161,3.0
111,306817586,7170,3.0
114,306817586,7017,5.0
116,306817586,7782,3.0
118,306817586,10130,4.0
120,306817586,7983,5.0
121,306817586,13290,5.0
127,306817586,13550,5.0
129,306817586,9827,5.0
133,306817586,88,5.0
137,306817586,7176,4.0
138,306817586,2822,5.0
139,306817586,5412,4.0
140,306817586,4891,3.0
142,306817586,1501,3.0
155,306817586,8563,4.0
159,306817586,1608,3.0
162,306817586,10257,3.0
164,306817586,4941,4.0
170,306817586,13803,3.0
180,306817586,2033,3.0
186,306817586,13262,5.0
187,306817586,13881,5.0
190,306817586,4069,4.0
195,306817586,3596,5.0
196,306817586,7555,4.0
198,306817586,4534,4.0
199,306817586,9416,2.0
205,306817586,6963,3.0
212,306817586,6569,4.0
219,306817586,11911,1.0
221,306817586,4296,4.0
223,306817586,3543,4.0
229,306817586,8840,3.0
230,306817586,2976,5.0
232,306817586,12238,3.0
234,306817586,6418,5.0
235,306817586,8022,5.0
238,306817586,3003,4.0
245,306817586,3403,2.0
251,306817586,9369,3.0
254,306817586,5705,4.0
256,306817586,2485,4.0
258,306817586,3212,5.0
262,306817586,13562,4.0
270,306817586,8628,5.0
271,306817586,8221,3.0
272,306817586,7054,4.0
273,306817586,9578,3.0
276,306817586,5037,4.0
277,306817586,11675,5.0
281,306817586,6715,4.0
282,306817586,12223,3.0
20,679601279,11590,5.0
21,679601279,13665,3.0
23,679601279,10216,3.0
26,679601279,5040,5.0
28,679601279,2060,4.0
38,679601279,5135,4.0
39,679601279,10420,4.0
57,679601279,11183,5.0
60,679601279,7902,4.0
62,679601279,5872,3.0
63,679601279,7087,5.0
65,679601279,7426,4.0
72,679601279,7401,5.0
73,679601279,7682,5.0
78,679601279,2925,4.0
79,679601279,5154,4.0
82,679601279,73,1.0
87,679601279,7656,4.0
90,679601279,12837,5.0
97,679601279,3865,4.0
98,679601279,10700,5.0
104,679601279,1325,5.0
110,679601279,6266,4.0
111,679601279,4295,3.0
114,679601279,4097,3.0
116,679601279,9374,4.0
118,679601279,1009,5.0
120,679601279,13015,3.0
121,679601279,189,4.0
127,679601279,2494,4.0
129,679601279,7148,5.0
133,679601279,3059,4.0
137,679601279,12242,4.0
138,679601279,15,5.0
139,679601279,10162,4.0
140,679601279,834,5.0
142,679601279,4397,5.0
155,679601279,6935,5.0
159,679601279,6405,4.0
162,679601279,6138,5.0
164,679601279,10484,4.0
170,679601279,8937,3.0
20,670020532,7456,5.0
21,670020532,1805,2.0
23,670020532,8268,3.0
26,670020532,6301,3.0
28,670020532,5425,3.0
38,670020532,7151,4.0
39,670020532,8321,4.0
57,670020532,13021,4.0
60,670020532,8977,5.0
62,670020532,12384,3.0
63,670020532,9519,4.0
65,670020532,10547,5.0
72,670020532,4688,5.0
73,670020532,5378,3.0
78,670020532,10246,5.0
79,670020532,6372,4.0
82,670020532,2374,3.0
87,670020532,1714,5.0
90,670020532,11384,3.0
97,670020532,7066,3.0
98,670020532,9687,3.0
104,670020532,12001,3.0
110,670020532,1745,5.0
111,670020532,9216,3.0
114,670020532,8002,4.0
116,670020532,4543,2.0
118,670020532,4844,5.0
120,670020532,5554,1.0
121,670020532,2159,5.0
127,670020532,561,5.0
129,670020532,1899,5.0
133,670020532,8311,5.0
137,670020532,10730,5.0
138,670020532,6735,5.0
139,670020532,5849,5.0
140,670020532,9262,5.0
142,670020532,6811,5.0
155,670020532,2718,4.0
159,670020532,12286,5.0
162,670020532,13082,5.0
164,670020532,10686,4.0
170,670020532,1019,5.0
180,670020532,4280,3.0
186,670020532,4915,4.0
187,670020532,1951,3.0
190,670020532,4902,5.0
195,670020532,9015,5.0
196,670020532,10482,5.0
198,670020532,142,5.0
199,670020532,11630,5.0
205,670020532,12172,4.0
212,670020532,13660,3.0
219,670020532,6456,5.0
221,670020532,13909,5.0
223,670020532,4375,5.0
229,670020532,8051,5.0
230,670020532,11325,4.0
232,670020532,4947,2.0
234,670020532,2125,3.0
235,670020532,2677,5.0
238,670020532,7727,4.0
245,670020532,10724,5.0
251,670020532,10407,4.0
254,670020532,11260,4.0
256,670020532,2758,3.0
258,670020532,6202,1.0
262,670020532,501,5.0
270,670020532,10405,5.0
271,670020532,10597,4.0
272,670020532,13340,4.0
273,670020532,995,2.0
276,670020532,770,5.0
277,670020532,13698,5.0
281,670020532,407,5.0
282,670020532,6272,5.0
20,553341030,11206,5.0
21,553341030,9714,4.0
23,553341030,12999,4.0
26,553341030,8479,4.0
28,553341030,2698,4.0
38,553341030,2740,3.0
39,553341030,8476,4.0
57,553341030,12088,5.0
60,553341030,4491,4.0
62,553341030,10895,4.0
63,553341030,13391,3.0
65,553341030,493,4.0
72,553341030,5977,5.0
73,553341030,6866,4.0
78,553341030,12002,3.0
79,553341030,8696,5.0
82,553341030,8873,5.0
87,553341030,9244,4.0
90,553341030,1232,4.0
97,553341030,8368,5.0
98,553341030,6331,3.0
104,553341030,13244,5.0
110,553341030,9615,4.0
111,553341030,7143,4.0
114,553341030,313,5.0
116,553341030,4450,5.0
118,553341030,12822,4.0
120,553341030,4219,4.0
121,553341030,12569,5.0
127,553341030,7515,5.0
129,553341030,13855,5.0
133,553341030,8943,5.0
137,553341030,10703,4.0
138,553341030,864,5.0
139,553341030,12650,3.0
140,553341030,949,4.0
142,553341030,3862,5.0
155,553341030,732,4.0
159,553341030,5270,4.0
162,553341030,3396,5.0
164,553341030,12771,4.0
170,553341030,12008,5.0
180,553341030,9703,4.0
186,553341030,7207,4.0
187,553341030,11923,5.0
190,553341030,7357,5.0
195,553341030,10275,4.0
196,553341030,13811,4.0
198,553341030,13714,2.0
199,553341030,5988,5.0
205,553341030,2614,2.0
212,553341030,6797,3.0
219,553341030,3912,5.0
221,553341030,4622,5.0
223,553341030,5696,5.0
229,553341030,938,4.0
230,553341030,1550,5.0
232,553341030,3309,2.0
234,553341030,7413,5.0
235,553341030,465,4.0
238,553341030,4532,4.0
245,553341030,9326,5.0
251,553341030,10767,1.0
254,553341030,152,5.0
256,553341030,587,4.0
258,553341030,12379,4.0
262,553341030,3001,3.0
270,553341030,8441,5.0
271,553341030,9274,3.0
272,553341030,6293,5.0
273,553341030,801,5.0
276,553341030,3637,4.0
277,553341030,4393,5.0
281,553341030,10967,4.0
282,553341030,10391,4.0
20,1771642483,3895,2.0
21,1771642483,8423,4.0
23,1771642483,9753,5.0
26,1771642483,2298,4.0
28,1771642483,3649,5.0
38,1771642483,4636,5.0
39,1771642483,1568,4.0
57,1771642483,13734,5.0
20,142003344,9532,5.0
21,142003344,2280,4.0
23,142003344,13900,5.0
26,142003344,13437,5.0
28,142003344,7001,4.0
38,142003344,3693,4.0
39,142003344,13919,4.0
57,142003344,10872,5.0
20,145162445X,4803,3.0
21,145162445X,7918,4.0
23,145162445X,7151,4.0
26,145162445X,3327,4.0
28,145162445X,4349,5.0
38,145162445X,13894,2.0
39,145162445X,9375,4.0
57,145162445X,11997,3.0
60,145162445X,8146,3.0
62,145162445X,2121,4.0
63,145162445X,6582,4.0
65,145162445X,8258,2.0
72,145162445X,113,3.0
73,145162445X,6327,4.0
78,145162445X,7180,5.0
79,145162445X,10649,5.0
82,145162445X,3121,3.0
87,145162445X,8946,5.0
90,145162445X,12821,4.0
97,145162445X,8900,3.0
98,145162445X,12044,4.0
104,145162445X,3152,5.0
110,145162445X,4399,3.0
111,145162445X,1865,5.0
114,145162445X,8843,4.0
116,145162445X,5032,1.0
118,145162445X,11052,4.0
120,145162445X,9932,3.0
121,145162445X,3336,3.0
127,145162445X,12586,5.0
129,145162445X,6065,4.0
133,145162445X,935,2.0
137,145162445X,2062,5.0
138,145162445X,2018,1.0
139,145162445X,9749,5.0
140,145162445X,11201,1.0
142,145162445X,2508,2.0
155,145162445X,2007,5.0
159,145162445X,12009,4.0
162,145162445X,2036,5.0
164,145162445X,6138,4.0
170,145162445X,9983,4.0
180,145162445X,3987,5.0
186,145162445X,4592,3.0
187,145162445X,537,2.0
190,145162445X,7202,3.0
195,145162445X,11942,5.0
196,145162445X,7667,5.0
198,145162445X,10019,5.0
199,145162445X,1433,2.0
205,145162445X,5294,4.0
212,145162445X,9058,3.0
219,145162445X,12568,3.0
221,145162445X,8894,3.0
223,145162445X,11978,3.0
229,145162445X,9451,4.0
230,145162445X,6893,2.0
232,145162445X,12432,2.0
234,145162445X,12498,4.0
235,145162445X,7274,2.0
238,145162445X,2432,4.0
245,145162445X,7657,2.0
251,145162445X,6042,3.0
254,145162445X,11737,5.0
256,145162445X,2061,4.0
258,145162445X,6033,3.0
262,145162445X,1120,4.0
270,145162445X,4777,3.0
271,145162445X,1297,4.0
272,145162445X,6178,5.0
273,145162445X,4929,4.0
276,145162445X,4444,3.0
277,145162445X,4710,5.0
281,145162445X,13511,2.0
282,145162445X,7888,3.0
20,739467352,850,2.0
21,739467352,12434,4.0
23,739467352,3242,5.0
26,739467352,12555,2.0
28,739467352,11249,4.0
38,739467352,7217,1.0
39,739467352,5084,5.0
57,739467352,1678,3.0
20,1400033721,5728,3.0
21,1400033721,10249,4.0
23,1400033721,13315,5.0
26,1400033721,7569,4.0
28,1400033721,6510,3.0
38,1400033721,964,3.0
39,1400033721,6881,3.0
57,1400033721,3223,5.0
60,1400033721,3828,5.0
62,1400033721,9325,5.0
63,1400033721,2064,4.0
65,1400033721,273,3.0
72,1400033721,9268,5.0
73,1400033721,11748,4.0
78,1400033721,12225,4.0
79,1400033721,761,5.0
82,1400033721,4339,4.0
87,1400033721,772,4.0
90,1400033721,1206,5.0
97,1400033721,8166,4.0
98,1400033721,10445,4.0
104,1400033721,11609,4.0
110,1400033721,12973,4.0
111,1400033721,9459,4.0
114,1400033721,7898,5.0
116,1400033721,4937,5.0
118,1400033721,12198,5.0
120,1400033721,12361,4.0
121,1400033721,1350,5.0
127,1400033721,3681,4.0
129,1400033721,1475,5.0
133,1400033721,10452,4.0
137,1400033721,4657,3.0
138,1400033721,7521,4.0
139,1400033721,4154,4.0
140,1400033721,13370,4.0
142,1400033721,11190,4.0
